朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","元稹","大历十四年","779","2",,"1","","京畿道","京兆府","万年","靖安坊","陕西","西安市",,"108.946306","34.347436",,"是年，出生于长安万年县靖安坊。","",,"","","周相录《元稹年谱新编》，上海古籍出版社版2004年版，第12页",,,,"欧阳丹"
"唐","元稹","建中元年","780",,,"2","","京畿道","京兆府","万年","靖安坊","陕西","西安市",,"108.946306","34.347436",,"在长安。","",,"","","周相录《元稹年谱新编》，上海古籍出版社版2004年版，第14页",,,,"欧阳丹"
"唐","元稹","建中二年","781",,,"3","","京畿道","京兆府","万年","靖安坊","陕西","西安市",,"108.946306","34.347436",,"在长安。","",,"","","周相录《元稹年谱新编》，上海古籍出版社版2004年版，第14页",,,,"欧阳丹"
"唐","元稹","建中三年","782",,,"4","","京畿道","京兆府","万年","靖安坊","陕西","西安市",,"108.946306","34.347436",,"在长安。元稹母亲郑氏约此时开始掌管家事。","",,"","","周相录《元稹年谱新编》，上海古籍出版社版2004年版，第14页",,,,"欧阳丹"
"唐","元稹","建中四年","783",,,"5","","京畿道","京兆府","万年","靖安坊","陕西","西安市",,"108.946306","34.347436",,"在长安。韦丛生，其母裴氏卒，丛由庶母段氏抚养。元稹大姐嫁陆翰，翰时为太平县主簿。","",,"","","周相录《元稹年谱新编》，上海古籍出版社版2004年版，第15页",,,,"欧阳丹"
"唐","元稹","兴元元年","784",,,"6","","京畿道","京兆府","万年","靖安坊","陕西","西安市",,"108.946306","34.347436",,"在长安。七月，“崔莺莺”（不确）生。","“崔莺莺”（不确）",,"","","周相录《元稹年谱新编》，上海古籍出版社版2004年版，第15页",,,,"欧阳丹"
"唐","元稹","贞元元年","785",,,"7","","京畿道","京兆府","万年","靖安坊","陕西","西安市",,"108.946306","34.347436",,"在长安。","",,"","","周相录《元稹年谱新编》，上海古籍出版社版2004年版，第15页",,,,"欧阳丹"
"唐","元稹","贞元二年","786",,,"8","","京畿道","京兆府","万年","靖安坊","陕西","西安市",,"108.946306","34.347436",,"叔元宵卒。父元宽卒，“外诸翁”郑云逵撰元宽墓志。遭丧遇灾，家贫，有议卖府邸者，元秬阻之。","元宵（白居易叔），元宽（白居易父），元秬",,"","","周相录《元稹年谱新编》，上海古籍出版社版2004年版，第16页",,,,"欧阳丹"
"唐","元稹","贞元二年","786",,,"8","","京畿道","凤翔府","天兴",,"陕西","宝鸡市",,"107.243899","34.367747",,"为减少家庭开支，郑氏携元积、元稹赴凤翔，依靠舅族。郑氏亲自教育元积、元稹。","",,"","","周相录《元稹年谱新编》，上海古籍出版社版2004年版，第16-17页",,,,"欧阳丹"
"唐","元稹","贞元三年","787",,,"9","","京畿道","凤翔府","天兴",,"陕西","宝鸡市",,"107.243899","34.367747",,"在凤翔，丁父忧。从姨兄胡灵之学诗。","胡灵之",,"","","周相录《元稹年谱新编》，上海古籍出版社版2004年版，第17页",,,,"欧阳丹"
"唐","元稹","贞元四年","788",,,"10","","京畿道","凤翔府","天兴",,"陕西","宝鸡市",,"107.243899","34.367747",,"在凤翔，丁父忧。借书求学，以陆翰为师。识从姨兄吴士矩、吴士则。","陆翰，吴士矩，吴士则",,"","","周相录《元稹年谱新编》，上海古籍出版社版2004年版，第17页",,,,"欧阳丹"
