朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","刘禹锡","代宗大历七年壬子","772",,,"1","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"出生","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第6-7页",,,,"洪迎华"
"唐","刘禹锡","代宗大历八年癸丑","773",,,"2","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"居乡","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第7页","此年柳宗元生",,,"洪迎华"
"唐","刘禹锡","代宗大历九年甲寅","774",,,"3","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"居乡","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第7页",,,,"洪迎华"
"唐","刘禹锡","代宗大历十年乙卯","775",,,"4","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"居乡","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第7页",,,,"洪迎华"
"唐","刘禹锡","代宗大历十一年丙辰","776",,,"5","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"居乡","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第7页",,,,"洪迎华"
"唐","刘禹锡","代宗大历十二年丁巳","777",,,"6","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"居乡","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第8页",,,,"洪迎华"
"唐","刘禹锡","代宗大历十三年戊午","778",,,"7","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"居乡","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第8页",,,,"洪迎华"
"唐","刘禹锡","代宗大历十四年己未","779",,,"8","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"居乡","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第8页","此年元稹生",,,"洪迎华"
"唐","刘禹锡","德宗建中元年庚申","780",,,"9","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"居乡","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第8页","此年牛僧孺生",,,"洪迎华"
"唐","刘禹锡","德宗建中二年辛酉","781",,,"10","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"居乡。童时多病","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第8页","此事无具体年代可考，暂系于此",,,"洪迎华"
"唐","刘禹锡","德宗建中二年辛酉","781",,,"10","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"幼识裴昌禹","裴昌禹",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第9页","此事无具体年代可考，暂系于此",,,"洪迎华"
"唐","刘禹锡","德宗建中二年辛酉","781",,,"10","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"从僧皎然、灵澈等学诗","僧皎然，僧灵澈",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第9页","此事无具体年代可考，暂系于此",,,"洪迎华"
"唐","刘禹锡","德宗建中二年辛酉","781",,,"10","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"见器于权德舆","权德舆",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第9页","此事无具体年代可考，暂系于此",,,"洪迎华"
"唐","刘禹锡","德宗建中三年壬戌","782",,,"11","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"居乡","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第9页",,,,"洪迎华"
"唐","刘禹锡","德宗建中四年癸亥","783",,,"12","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"居乡","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第9页",,,,"洪迎华"
"唐","刘禹锡","德宗兴元元年甲子","784",,,"13","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"居乡","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第10页",,,,"洪迎华"
"唐","刘禹锡","德宗贞元元年乙丑","785",,,"14","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"居乡","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第11页",,,,"洪迎华"
"唐","刘禹锡","德宗贞元二年丙寅","786",,,"15","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"居乡","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第11页",,,,"洪迎华"
"唐","刘禹锡","德宗贞元三年丁卯","787",,,"16","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"居乡","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第11页","此年李德裕生",,,"洪迎华"
"唐","刘禹锡","德宗贞元四年戊辰","788",,,"17","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"居乡。始习医","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第11页",,,,"洪迎华"
"唐","刘禹锡","德宗贞元五年己巳","789",,,"18","","江南东道","苏州","吴县",,"江苏","苏州市",,"120.589613","31.304566",,"居乡","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第12页",,,,"洪迎华"
"唐","刘禹锡","德宗贞元六年庚午","790",,,"19","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"学有成就，北游长安","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第12页",,,,"洪迎华"
"唐","刘禹锡","德宗贞元七年辛未","791",,,"20","",,,,,,,,"0","0",,"不详","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第12页","《年谱》此页记刘禹锡20岁前已至长安。",,,"洪迎华"
"唐","刘禹锡","德宗贞元八年壬申","792",,,"21","","京畿道","华州","华阴","华山","陕西","渭南市","华阴市","110.098671","34.57172",,"冬，经华山，作诗","","《华山歌》","Poem","华山歌
洪垆作高山，元气鼓其橐。俄然神功就，峻拔在寥廓。灵迹露指爪，杀气见棱角。凡木不敢生，神仙聿来托。天资帝王宅，以我为关钥。能令下国人，一见换神骨。高山固无限，如此方为岳。丈夫无特达，虽贵犹碌碌。","陶敏、陶红雨《刘禹锡全集编年校注》，岳麓书社2003年版,第1页",,,,"洪迎华"
"唐","刘禹锡","德宗贞元八年壬申","792",,,"21","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"在长安。","",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第12页",,,,"洪迎华"
"唐","刘禹锡","德宗贞元九年癸酉","793",,,"22","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"是年，权礼部侍郎顾少连知贡举，放进士三十二人，其中柳宗元与刘禹锡交最密","顾少连，柳宗元","《平权衡赋》","Article","平权衡赋
惟天垂象。惟圣作程。播二气而是分晷度。立五则而在审权衡。上穆天时。应阴阳之克正。下统人极。俾准绳而惟平。于是黍累无差。毫釐必究。等度量而化通远迩。体平均而势行宇宙。当其夹钟中律。南吕戒候。铜浑应节于寒暑。玉漏方齐乎宵昼。繇是命有司而申令。考前王而是遵。权轻重以审则。中规矩而和钧。事垂文兮风传乎千古。道如砥兮日用于兆人。懿夫正以处中。平而立矩。命其同也。有虞之制克彰。称其谨焉。宣父之言可取。故能用该仁里。象合天文。既左旋而右折。量轻并而重分。持平罔亏。可为范于秉钧之佐。立信惟一。将有助于执契之君。不然。则何以悬之而息彼奸诈。正之而协于晨夜。得平则正。我之道兮允执厥中。益寡裒多。众所用兮不言而化。化之有孚。功莫可踰。立规程罔惭夫龟镜。揣钧石宁失乎锱铢。匪假垂钧。而其用不匮。何劳剖斗。而所争自无。方今百度惟贞。万邦承则。顺时设教兮靡不获所。同律和声兮允臻其极。玉衡正而三阶以平。七政齐而庶政不忒矣。美君臣之同体。犹权衡以合德。宰准绳之在心。庶轻重之不惑。","卞孝萱《刘禹锡年谱》，中华书局1966年版,第12-16页","卞孝萱校订《刘禹锡集》诗文补遗卷第615页，中华书局1990年版",,,"洪迎华"
"唐","刘禹锡","德宗贞元九年癸酉","793",,,"22","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"与李绛同登宏辞科","李绛",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第14页",,,,"洪迎华"
"唐","刘禹锡","德宗贞元九年癸酉","793",,,"22","","京畿道","华州",,,"陕西","渭南市","华县","109.778378","34.518619",,"至华州，省堂舅卢徵","卢徵",,"","","卞孝萱《刘禹锡年谱》，中华书局1966年版,第15页",,,,"洪迎华"
"唐","刘禹锡","德宗贞元九年癸酉","793",,,"22","","京畿道","华州",,,"陕西","渭南市","华县","109.778378","34.518619",,"在华州，作诗留别张贾","张贾","《发华州留别张侍御贾》","Poem","发华州留别张侍御
束简下延阁，买符驱短辕。同人惜分袂，结念醉芳樽。切切别弦急，萧萧征骑烦。临岐无限意，相视却忘言。","陶敏、陶红雨《刘禹锡全集编年校注》，岳麓书社2003年版,第7页","卞孝萱校订《刘禹锡集》卷28第369页，中华书局1990年版；此页记此诗所作时间为贞元九年或十年，姑系于贞元九年",,,"洪迎华"
