朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","卢照邻","太宗贞观八年甲午","634",,,"1","","河北道","幽州","范阳",,"河北","保定市","涿州市","115.981009","39.490959",,"居于家乡范阳。照邻生年无确考。本表所列年岁为虚拟数。","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.21-23",,,,"黄俊杰"
"唐","卢照邻","太宗贞观九年乙未","635",,,"2","","河北道","幽州","范阳",,"河北","保定市","涿州市","115.981009","39.490959",,"居于家乡范阳","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第24页",,,,"黄俊杰"
"唐","卢照邻","太宗贞观九年乙未","636",,,"3","","河北道","幽州","范阳",,"河北","保定市","涿州市","115.981009","39.490959",,"居于家乡范阳","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第30页",,,,"黄俊杰"
"唐","卢照邻","太宗贞观十年丙申","637",,,"4","","河北道","幽州","范阳",,"河北","保定市","涿州市","115.981009","39.490959",,"居于家乡范阳","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第31页",,,,"黄俊杰"
"唐","卢照邻","太宗贞观十二年戊戌","638",,,"5","","河北道","幽州","范阳",,"河北","保定市","涿州市","115.981009","39.490959",,"始诵诗习礼","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第32页",,,,"黄俊杰"
"唐","卢照邻","太宗贞观十三年己亥","639",,,"6","","河北道","幽州","范阳",,"河北","保定市","涿州市","115.981009","39.490959",,"居于家乡范阳","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.",,"张谱缺卢照邻六岁行迹",,"黄俊杰"
"唐","卢照邻","太宗贞观十四年庚子","640",,,"7","","河北道","幽州","范阳",,"河北","保定市","涿州市","115.981009","39.490959",,"居于家乡范阳","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第33页",,,,"黄俊杰"
"唐","卢照邻","太宗贞观十五年辛丑","641",,,"8","","河北道","幽州","范阳",,"河北","保定市","涿州市","115.981009","39.490959",,"居于家乡范阳","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第34页",,,,"黄俊杰"
"唐","卢照邻","太宗贞观十六年壬寅","642",,,"9","","河北道","幽州","范阳",,"河北","保定市","涿州市","115.981009","39.490959",,"居于家乡范阳","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第36页",,,,"黄俊杰"
"唐","卢照邻","太宗贞观十七年癸卯","643",,,"10","","河北道","幽州","范阳",,"河北","保定市","涿州市","115.981009","39.490959",,"居于家乡范阳","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第37页",,,,"黄俊杰"
"唐","卢照邻","太宗贞观十八年甲辰","644",,,"11","","河北道","幽州","范阳",,"河北","保定市","涿州市","115.981009","39.490959",,"居于家乡范阳","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第38页",,,,"黄俊杰"
"唐","卢照邻","太宗贞观十九年乙巳","645",,,"12","","河北道","幽州","范阳",,"河北","保定市","涿州市","115.981009","39.490959",,"居于家乡范阳","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第40页",,,,"黄俊杰"
"唐","卢照邻","太宗贞观二十年丙午","646",,,"13","","淮南道","扬州","江都",,"江苏","扬州市",,"119.419107","32.39986",,"就曹宪学《苍》、《雅》","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第41页",,,,"黄俊杰"
"唐","卢照邻","太宗贞观二十一年丁未","647",,,"14","","淮南道","扬州","江都",,"江苏","扬州市",,"119.419107","32.39986",,"就曹宪学《苍》、《雅》","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第44页",,,,"黄俊杰"
"唐","卢照邻","太宗贞观二十二年戊申","648",,,"15","","淮南道","扬州","江都",,"江苏","扬州市",,"119.419107","32.39986",,"就曹宪学《苍》、《雅》","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第45页",,,,"黄俊杰"
"唐","卢照邻","太宗贞观二十三年己酉","649",,,"16","","河北道","相州","洹水",,"河北","邯郸市","魏县","114.945271","36.366063",,"就王义方学经史、缀文","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.46-48",,,,"黄俊杰"
"唐","卢照邻","高宗永徽元年庚戍","650",,,"17","","河北道","相州","洹水",,"河北","邯郸市","魏县","114.945271","36.366063",,"就王义方学经史、缀文","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第50页",,,,"黄俊杰"
"唐","卢照邻","高宗永徽二年辛亥","651",,,"18","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"入京应举","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.53-54",,,,"黄俊杰"
"唐","卢照邻","高宗永徽三年壬子","652",,,"19","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"在长安参选.本年冬或明年春,作《长安古意》诗","","《长安古意》","Poem","长安古意
长安大道连狭斜，青牛白马七香车。玉辇纵横过主第，金鞭络绎向侯家。龙衔宝盖承朝日，凤吐流苏带晚霞。百丈游丝争绕树，一群娇鸟共啼花。啼花戏蝶千门侧，碧树银台万种色。复道交窗作合欢，双阙连甍垂凤翼。梁家画阁天中起，汉帝金茎云外直。楼前相望不相知，陌上相逢讵相识。借问吹箫向紫烟，曾经学舞度芳年。得成比目何辞死，愿作鸳鸯不羡仙。比目鸳鸯真可羡，双去双来君不见。生憎帐额绣孤鸾，好取门帘帖双燕。双燕双飞绕画梁，罗帏翠被郁金香。片片行云著蝉鬓，纤纤初月上鸦黄。鸦黄粉白车中出，含娇含态情非一。妖童宝马铁连钱，娼妇盘龙金屈膝。御史府中乌夜啼，廷尉门前雀欲栖。隐隐朱城临玉道，遥遥翠幰没金堤。挟弹飞鹰杜陵北，探丸借客渭桥西。俱邀侠客芙蓉剑，共宿娼家桃李蹊。娼家日暮紫罗裙，清歌一啭口氛氲。北堂夜夜人如月，南陌朝朝骑似云。南陌北堂连北里，五剧三条控三市。弱柳青槐拂地垂，佳气红尘暗天起。汉代金吾千骑来，翡翠屠苏鹦鹉杯。罗襦宝带为君解，燕歌赵舞为君开。别有豪华称将相，转日回天不相让。意气由来排灌夫，专权判不容萧相。专权意气本豪雄，青虬紫燕坐春风。自言歌舞长千载，自谓骄奢凌五公。节物风光不相待，桑田碧海须臾改。昔时金阶白玉堂，即今唯见青松在。寂寂寥寥扬子居，年年岁岁一床书。独有南山桂花发，飞来飞去袭人裾。","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.55-56","祝尚书《卢照邻集笺注》增订本上海古籍出版社2011年年版卷2第85页",,,"黄俊杰"
"唐","卢照邻","高宗永徽四年癸丑","653",,,"20","","淮南道","寿州","寿春",,"安徽","六安市","寿县","116.793572","32.579375","典签","在寿州,为邓王府典签","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.58-59",,,,"黄俊杰"
"唐","卢照邻","高宗永徽五年甲寅","654",,,"21","","淮南道","寿州","寿春",,"安徽","六安市","寿县","116.793572","32.579375","典签","在寿州,为邓王府典签","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第60页",,,,"黄俊杰"
"唐","卢照邻","高宗永徽六年乙卯","655",,,"22","","淮南道","寿州","寿春",,"安徽","六安市","寿县","116.793572","32.579375","典签","在寿州,为邓王府典签","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第62页",,,,"黄俊杰"
"唐","卢照邻","高宗显庆元年丙辰","656",,,"23","","淮南道","寿州","寿春",,"安徽","六安市","寿县","116.793572","32.579375","典签","在寿州,为邓王府典签","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第66页",,,,"黄俊杰"
"唐","卢照邻","高宗显庆二年丁巳","657",,,"24","","淮南道","寿州","寿春",,"安徽","六安市","寿县","116.793572","32.579375","典签","在寿州,为邓王府典签","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第68页",,,,"黄俊杰"
"唐","卢照邻","高宗显庆三年戊午","658","1",,"25","","山南东道","襄州","襄阳",,"湖北","襄阳市",,"112.129089","32.014789","典签","寿州刺史邓王李元裕被册封为襄州刺史,随邓王由寿州赴襄州","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第69页",,,,"黄俊杰"
"唐","卢照邻","高宗显庆四年己未","659",,,"26","","山南东道","襄州","襄阳",,"湖北","襄阳市",,"112.129089","32.014789","典签","在襄州,与张柬之有交往","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第72页",,,,"黄俊杰"
"唐","卢照邻","高宗显庆五年庚申","660",,,"27","","山南东道","襄州","襄阳",,"湖北","襄阳市",,"112.129089","32.014789","典签","在襄州","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第76页",,,,"黄俊杰"
"唐","卢照邻","高宗龙朔元年、显庆六年辛酉","661",,,"28","","山南东道","襄州","襄阳",,"湖北","襄阳市",,"112.129089","32.014789","典签","在襄州.秋,奉使西行.行前有《西使兼送孟学士》诗","","《西使兼送孟学士南游》","Poem","西使兼送孟学士南游
地道巴陵北，天山弱水东。相看万馀里，共倚一征蓬。零雨悲王粲，清尊别孔融。裴回闻夜鹤，怅望待秋鸿。骨肉胡秦外，风尘关塞中。唯馀剑锋在，耿耿气成虹。","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第78页","祝尚书《卢照邻集笺注》增订本上海古籍出版社2011年年版卷3第138页",,,"黄俊杰"
"唐","卢照邻","高宗龙朔元年、显庆六年辛酉","661",,,"28","","陇右道","凉州","凉州",,"甘肃","武威市",,"102.644524","37.934078","典签","在襄州.秋,奉使西行.经秦陇抵河西,至凉州、甘州等地","","《陇头水》","Poem","陇头水
陇阪高无极，征人一望乡。关河别去水，沙塞断归肠。马系千年树，旌悬九月霜。从来共呜咽，皆是为勤王。","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.78-79","祝尚书《卢照邻集笺注》增订本上海古籍出版社2011年年版卷2第98页",,,"黄俊杰"
"唐","卢照邻","高宗龙朔元年、显庆六年辛酉","661",,,"28","","陇右道","甘州","甘州",,"甘肃","张掖市",,"100.456221","38.932187","典签","在襄州.秋,奉使西行.经秦陇抵河西,至凉州、甘州等地","","《关山月》","Poem","横吹曲辞 关山月
塞垣通碣石，虏障抵祈连。相思在万里，明月正孤悬。影移金岫北，光断玉门前。寄书谢中妇，时看鸿雁天。","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.78-79","祝尚书《卢照邻集笺注》增订本上海古籍出版社2011年年版卷2第107页",,,"黄俊杰"
"唐","卢照邻","高宗龙朔元年、显庆六年辛酉","661",,,"28","","陇右道","甘州","甘州",,"甘肃","张掖市",,"100.456221","38.932187","典签","在襄州.秋,奉使西行.经秦陇抵河西,至凉州、甘州等地","","《雨雪曲》","Poem","雨雪曲
虏骑三秋入，关云万里平。雪似胡沙暗，冰如汉月明。高阙银为阙，长城玉作城。节旄零落尽，天子不知名。","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.78-79","祝尚书《卢照邻集笺注》增订本上海古籍出版社2011年年版卷2第102页",,,"黄俊杰"
"唐","卢照邻","高宗龙朔二年壬戌","662",,,"29","","关内道","安北都护府","皋兰都督府",,"外蒙古",,,"107.149559","47.966156","典签","春,随军至漠北","","《紫骝马》","Poem","横吹曲辞 紫骝马
骝马照金鞍，转战入皋兰。塞门风稍急，长城水正寒。雪暗鸣珂重，山长喷玉难。不辞横绝漠，流血几时乾。","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第81页","祝尚书《卢照邻集笺注》增订本上海古籍出版社2011年年版卷2第110页","张谱未详其地,据谭图补",,"黄俊杰"
"唐","卢照邻","高宗龙朔二年壬戌","662",,,"29","","关内道","安北都护府","仙萼州",,"外蒙古",,,"106.933388","48.3262978","典签","春,随军至漠北","","《战城南（将军出紫塞）》","Poem","战城南
将军出紫塞，冒顿在乌贪。笳喧雁门北，阵翼龙城南。雕弓夜宛转，铁骑晓参驔。应须驻白日，为待战方酣。","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第81页","祝尚书《卢照邻集笺注》增订本上海古籍出版社2011年年版卷2第112页","张谱未详其地,据谭图补",,"黄俊杰"
"唐","卢照邻","高宗龙朔二年壬戌","662",,,"29","","关内道","安北都护府","仙萼州",,"外蒙古",,,"106.933388","48.3262978","典签","春,随军至漠北","","《梅花落》","Poem","横吹曲辞 梅花落
梅岭花初发，天山雪未开。雪处疑花满，花边似雪回。因风入舞袖，杂粉向妆台。匈奴几万里，春至不知来。","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第81页","祝尚书《卢照邻集笺注》增订本上海古籍出版社2011年年版卷2第105页","张谱未详其地,据谭图补",,"黄俊杰"
"唐","卢照邻","高宗龙朔二年壬戌","662",,,"29","","关内道","安北都护府","仙萼州",,"外蒙古",,,"106.933388","48.3262978","典签","春,随军至漠北","","《折杨柳》","Poem","折杨柳
倡楼启曙扉，杨柳正依依。莺啼知岁隔，条变识春归。露叶凝愁黛，风花乱舞衣。攀折聊将寄，军中音信稀。","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第81页","祝尚书《卢照邻集笺注》增订本上海古籍出版社2011年年版卷2第104页","张谱未详其地,据谭图补",,"黄俊杰"
"唐","卢照邻","高宗龙朔二年壬戌","662",,,"29","","关内道","安北都护府","燕然都护府",,"外蒙古",,,"106.933388","48.3262978","典签","春,随军至漠北","","《和吴侍御被使燕然》","Poem","和吴侍御被使燕然
春归龙塞北，骑指雁门垂。胡笳折杨柳，汉使采燕支。戍城聊一望，花雪几参差。关山有新曲，应向笛中吹。","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第81页","祝尚书《卢照邻集笺注》增订本上海古籍出版社2011年年版卷2第128页","张谱未详其地,据谭图补",,"黄俊杰"
"唐","卢照邻","高宗龙朔二年壬戌","662","3",,"29","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436","典签","春末,由河西返回京师","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第81页",,,,"黄俊杰"
