朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","孟浩然","武则天永昌元年乙丑","689",,,"1","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡","",,"","","刘文刚《孟浩然年谱》第9页",,,,"王前程、蓝皓月"
"唐","孟浩然","武则天天授元年庚寅","690",,,"2","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡","",,"","","刘文刚《孟浩然年谱》第10页",,,,"王前程、蓝皓月"
"唐","孟浩然","武则天天授二年辛卯","691",,,"3","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡","",,"","","刘文刚《孟浩然年谱》第10页",,,,"王前程、蓝皓月"
"唐","孟浩然","武则天长寿元年壬辰","692",,,"4","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡","",,"","","刘文刚《孟浩然年谱》第10页",,,,"王前程、蓝皓月"
"唐","孟浩然","武则天长寿二年癸巳","693",,,"5","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡","",,"","","刘文刚《孟浩然年谱》第10页",,,,"王前程、蓝皓月"
"唐","孟浩然","武则天延载元年甲午","694",,,"6","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡","",,"","","刘文刚《孟浩然年谱》第10页",,,,"王前程、蓝皓月"
"唐","孟浩然","武则天天册万岁元年乙未","695",,,"7","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡读书","",,"","","刘文刚《孟浩然年谱》第10页",,,,"王前程、蓝皓月"
"唐","孟浩然","武则天万岁通天元年丙申","696",,,"8","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡读书","",,"","","刘文刚《孟浩然年谱》第10页",,,,"王前程、蓝皓月"
"唐","孟浩然","武则天神功元年丁酉","697",,,"9","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡读书","",,"","","刘文刚《孟浩然年谱》第10页",,,,"王前程、蓝皓月"
"唐","孟浩然","武则天圣历元年戊戌","698",,,"10","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡，与弟孟洗然等读书学剑","",,"","","刘文刚《孟浩然年谱》10—11",,,,"王前程、蓝皓月"
"唐","孟浩然","武则天圣历二年己亥","699",,,"11","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡，与弟孟洗然等读书学剑","",,"","","刘文刚《孟浩然年谱》第11页",,,,"王前程、蓝皓月"
"唐","孟浩然","武则天久视元年庚子","700",,,"12","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡，与弟孟洗然等读书学剑","",,"","","刘文刚《孟浩然年谱》第11页",,,,"王前程、蓝皓月"
"唐","孟浩然","武则天长安元年辛丑","701",,,"13","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡，与弟孟洗然等读书学剑","",,"","","刘文刚《孟浩然年谱》第11页",,,,"王前程、蓝皓月"
"唐","孟浩然","武则天长安二年壬寅","702",,,"14","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡，与弟孟洗然等读书学剑","",,"","","刘文刚《孟浩然年谱》第11页",,,,"王前程、蓝皓月"
"唐","孟浩然","武则天长安三年癸卯","703",,,"15","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡，与弟孟洗然等读书学剑","",,"","","刘文刚《孟浩然年谱》第11页",,,,"王前程、蓝皓月"
"唐","孟浩然","武则天长安四年甲辰","704",,,"16","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡，与弟孟洗然等读书学剑","",,"","","刘文刚《孟浩然年谱》第11页",,,,"王前程、蓝皓月"
"唐","孟浩然","中宗神龙元年乙巳","705",,,"17","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡，与弟孟洗然等读书学剑","",,"","","刘文刚《孟浩然年谱》第11页",,,,"王前程、蓝皓月"
"唐","孟浩然","中宗神龙二年丙午","706",,,"18","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡，与弟孟洗然等读书学剑","",,"","","刘文刚《孟浩然年谱》第12页",,,,"王前程、蓝皓月"
"唐","孟浩然","中宗景龙元年丁未","707",,,"19","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡，与弟孟洗然等读书学剑","",,"","","刘文刚《孟浩然年谱》第12页",,,,"王前程、蓝皓月"
"唐","孟浩然","中宗景龙二年戊申","708",,,"20","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡，初游鹿门山","","《题鹿门山》","Poem","登鹿门山
清晓因兴来，乘流越江岘。沙禽近方识，浦树遥莫辨。渐至鹿门山，山明翠微浅。岩潭多屈曲，舟楫屡回转。昔闻庞德公，采药遂不返。金涧饵芝朮，石床卧苔藓。纷吾感耆旧，结揽事攀践。隐迹今尚存，高风邈已远。白云何时去，丹桂空偃蹇。探讨意未穷，回艇夕阳晚。","刘文刚《孟浩然年谱》第12页",,,,"王前程、蓝皓月"
"唐","孟浩然","中宗景龙三年己酉","709",,,"21","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡读书","",,"","","刘文刚《孟浩然年谱》第13页",,,,"王前程、蓝皓月"
"唐","孟浩然","睿宗景云元年庚戌","710",,,"22","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居乡读书","",,"","","刘文刚《孟浩然年谱》第13页",,,,"王前程、蓝皓月"
"唐","孟浩然","睿宗景云二年辛亥","711",,,"23","","山南东道","襄州","襄阳","鹿门山","湖北","襄阳市",,"112.129089","32.014789",,"与张子容同隐鹿门山","张子容","《夜归鹿门山歌》","Poem","夜归鹿门山歌
山寺钟鸣昼已昏，渔梁渡头争渡喧。人随沙路向江村，余亦乘舟归鹿门。鹿门月照开烟树，忽到庞公栖隐处。岩扉松径长寂寥，惟有幽人夜来去。","刘文刚《孟浩然年谱》13—15",,,,"王前程、蓝皓月"
"唐","孟浩然","睿宗景云二年辛亥","711",,,"23","","山南东道","襄州","襄阳","鹿门山","湖北","襄阳市",,"112.129089","32.014789",,"与张子容同隐鹿门山","张子容","《寻白鹤岩张子容隐居》","Poem","寻白鹤岩张子容隐居
白鹤青岩半，幽人有隐居。阶庭空水石，林壑罢樵渔。岁月青松老，风霜苦竹疏。睹兹怀旧业，回策返吾庐。","刘文刚《孟浩然年谱》13—15",,,,"王前程、蓝皓月"
"唐","孟浩然","玄宗先天元年壬子","712",,,"24","","山南东道","襄州","襄阳","鹿门山","湖北","襄阳市",,"112.129089","32.014789",,"送张子容应进士举，自己决心走荐举之路","张子容","《送张子容进士赴举》","Poem","送张子容进士赴举
夕曛山照灭，送客出柴门。惆怅野中别，殷勤岐路言。茂林予偃息，乔木尔飞翻。无使谷风诮，须令友道存。","刘文刚《孟浩然年谱》15—16",,,,"王前程、蓝皓月"
"唐","孟浩然","玄宗开元元年癸丑","713",,,"25","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居家读书，张子容登进士第","",,"","","刘文刚《孟浩然年谱》",,,,"王前程、蓝皓月"
"唐","孟浩然","玄宗开元二年甲寅","714",,,"26","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居家","",,"","","刘文刚《孟浩然年谱》",,,,"王前程、蓝皓月"
"唐","孟浩然","玄宗开元三年乙卯","715",,,"27","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居家","",,"","","刘文刚《孟浩然年谱》",,,,"王前程、蓝皓月"
"唐","孟浩然","玄宗开元四年丙辰","716",,,"28","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居家，张说任岳州刺史","",,"","","刘文刚《孟浩然年谱》",,,,"王前程、蓝皓月"
"唐","孟浩然","玄宗开元五年丁巳","717","8",,"29","","江南西道","岳州","巴陵","岳阳楼","湖南","岳阳市",,"113.135679","29.363262",,"游洞庭湖，登岳阳楼，干谒张说","张说","《望洞庭湖赠张丞相》","Poem","望洞庭湖赠张丞相
八月湖水平，涵虚混太清。气蒸云梦泽，波撼岳阳城。欲济无舟楫，端居耻圣明。坐观垂钓者，空有羡鱼情。","刘文刚《孟浩然年谱》",,,,"王前程、蓝皓月"
"唐","孟浩然","玄宗开元五年丁巳","717","9",,"29","","江南西道","澧州","澧阳","涔阳浦","湖南","常德市","澧县","111.765212","29.639031",,"游三湘","","《夜渡湘水》","Poem","夜渡湘水
客舟贪利涉，闇里渡湘川。露气闻芳杜，歌声识采莲。榜人投岸火，渔子宿潭烟。行侣时相问，浔阳何处边。","刘文刚《孟浩然年谱》",,,,"王前程、蓝皓月"
"唐","孟浩然","玄宗开元五年丁巳","717","10",,"29","","江南西道","澧州","澧阳","涔阳浦","湖南","常德市","澧县","111.765212","29.639031",,"游三湘","","《晓入南山》","Poem","晓入南山
瘴气晓氛氲，南山复水云。鲲飞今始见，鸟堕旧来闻。地接长沙近，江从汨渚分。贾生曾吊屈，予亦痛斯文。","刘文刚《孟浩然年谱》",,,,"王前程、蓝皓月"
"唐","孟浩然","玄宗开元六年戊午","718",,,"30","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居家，张说任荆州大都督府长史。","","《书怀贻京邑同好》","Poem","书怀贻京邑同好
维先自邹鲁，家世重儒风。诗体袭遗训，趋庭沾末躬。昼夜常自强，词翰颇亦工。三十既成立，嗟吁命不通。慈亲向羸老，喜惧在深衷。甘脆朝不足，箪瓢夕屡空。执鞭慕夫子，捧檄怀毛公。感激遂弹冠，安能守固穷。当途诉知己，投刺匪求蒙。秦楚邈离异，翻飞何日同。","刘文刚《孟浩然年谱》",,,,"王前程、蓝皓月"
"唐","孟浩然","玄宗开元六年戊午","718",,,"30","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居家，张说任荆州大都督府长史。","","《田园作》","Poem","田园作
弊庐隔尘喧，惟先养恬素。卜邻近三径，植果盈千树。粤余任推迁，三十犹未遇。书剑时将晚，丘园日已暮。晨兴自多怀，昼坐常寡悟。冲天羡鸿鹄，争食羞鸡骛。望断金马门，劳歌采樵路。乡曲无知己，朝端乏亲故。谁能为扬雄，一荐甘泉赋。","刘文刚《孟浩然年谱》",,,,"王前程、蓝皓月"
"唐","孟浩然","玄宗开元七年己未","719",,,"31","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"居家","",,"","","刘文刚《孟浩然年谱》",,,,"王前程、蓝皓月"
"唐","孟浩然","玄宗开元八年庚申","720","9",,"32","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"暮春抱病，有诗赠张子容","张子容","《晚春卧病寄张八》","Poem","晚春卧病寄张八
南陌春将晚，北窗犹卧病。林园久不游，草木一何盛。狭径花障迷，闲庭竹扫净。翠羽戏兰苕，赪鳞动荷柄。念我平生好，江乡远从政。云山阻梦思，衾枕劳歌咏。歌咏复何为，同心恨别离。世途皆自媚，流俗寡相知。贾谊才空逸，安仁鬓欲丝。遥情每东注，奔晷复西驰。常恐填沟壑，无由振羽仪。穷通若有命，欲向论中推。","刘文刚《孟浩然年谱》",,,,"王前程、蓝皓月"
"唐","孟浩然","玄宗开元八年庚申","720",,,"32","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"暮春抱病，有诗赠友人","","《李少府与杨九再来》","Poem","李少府与杨九再来
弱岁早登龙，今来喜再逢。如何春月柳，犹忆岁寒松。烟火临寒食，笙歌达曙钟。喧喧斗鸡道，行乐羡朋从。","刘文刚《孟浩然年谱》",,,,"王前程、蓝皓月"
"唐","孟浩然","玄宗开元八年庚申","720","9",,"32","","山南东道","襄州","襄阳","岘山","湖北","襄阳市",,"112.129089","32.014789",,"暮春抱病，有诗赠友人","","《爱州李少府见赠》","Poem","重酬李少府见赠
养疾衡檐下，由来浩气真。五行将禁火，十步任寻春。致敬惟桑梓，邀欢即主人。回看后彫色，青翠有松筠。","刘文刚《孟浩然年谱》",,,,"王前程、蓝皓月"
