朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","孟郊","玄宗天宝十载辛卯","751",,,"1","","江南东道","苏州","昆山",,"江苏","苏州市","昆山市","120.988266","31.3909",,"出生。其父孟庭玢时任昆山尉","",,"","","华忱之等《孟郊诗集校注》第521页",,,,"刘磊"
"唐","孟郊","玄宗天宝十一载壬辰","752",,,"2","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第521页",,,,"刘磊"
"唐","孟郊","玄宗天宝十二载癸巳","753",,,"3","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第521页",,,,"刘磊"
"唐","孟郊","玄宗天宝十三载甲午","754",,,"4","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第522页",,,,"刘磊"
"唐","孟郊","玄宗天宝十四载乙未","755",,,"5","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第522页",,,,"刘磊"
"唐","孟郊","肃宗至德元年、玄宗天宝十五载丙申","756",,,"6","","江南东道","湖州","武康",,"浙江","湖州市","德清县","119.984002","30.548828",,"不详。“生六七年，端序则见，长而愈骞。”（韩愈《贞曜先生墓志铭》）","",,"","","华忱之等《孟郊诗集校注》第522页",,,,"刘磊"
"唐","孟郊","肃宗至德二载丁酉","757",,,"7","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第522页",,,,"刘磊"
"唐","孟郊","肃宗乾元元年、至德三年戊戌","758",,,"8","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第522页",,,,"刘磊"
"唐","孟郊","肃宗乾元二年己亥","759",,,"9","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第523页",,,,"刘磊"
"唐","孟郊","肃宗上元元年、乾元三年庚子","760",,,"10","","江南东道","湖州","武康",,"浙江","湖州市","德清县","119.984002","30.548828",,"不详。东野幼年丧父，赖其母抚养成人。","",,"","","华忱之等《孟郊诗集校注》第523页",,,,"刘磊"
"唐","孟郊","肃宗上元二年辛丑","761",,,"11","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第523页",,,,"刘磊"
"唐","孟郊","代宗宝应元年壬寅","762",,,"12","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第523页",,,,"刘磊"
"唐","孟郊","代宗广德元年、宝应二年癸卯","763",,,"13","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第523页",,,,"刘磊"
"唐","孟郊","代宗广德二年甲辰","764",,,"14","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第524页",,,,"刘磊"
"唐","孟郊","代宗永泰元年乙巳","765",,,"15","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第524页",,,,"刘磊"
"唐","孟郊","代宗大历元年丙午","766",,,"16","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第524页",,,,"刘磊"
"唐","孟郊","代宗大历二年丁未","767",,,"17","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第524页",,,,"刘磊"
"唐","孟郊","代宗大历三年戊申","768",,,"18","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第524页",,,,"刘磊"
"唐","孟郊","代宗大历四年己酉","769",,,"19","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第524页",,,,"刘磊"
"唐","孟郊","代宗大历五年庚戌","770",,,"20","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第524页",,,,"刘磊"
"唐","孟郊","代宗大历六年辛亥","771",,,"21","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第525页",,,,"刘磊"
"唐","孟郊","代宗大历七年壬子","772",,,"22","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第525页",,,,"刘磊"
"唐","孟郊","代宗大历八年癸丑","773",,,"23","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第525页",,,,"刘磊"
"唐","孟郊","代宗大历九年甲寅","774",,,"24","",,,,,,,,"0","0",,"不详","",,"","","华忱之等《孟郊诗集校注》第525页",,,,"刘磊"
