朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","张九龄","高宗仪凤三年戊寅","678",,,"1","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年张九龄生于韶州曲江县","",,"","","熊飞《张九龄年谱新编》花木兰文化出版社2012年版 第7页",,,,"杨洁"
"唐","张九龄","高宗调露元年、仪凤四年己卯","679",,,"2","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年或居乡，姑系于此","",,"","",,,,,"杨洁"
"唐","张九龄","高宗永隆元年、调露二年庚辰","680",,,"3","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年或居乡，姑系于此","",,"","",,,,,"杨洁"
"唐","张九龄","高宗开耀元年、永隆二年辛巳","681",,,"4","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年或居乡，姑系于此","",,"","",,,,,"杨洁"
"唐","张九龄","高宗永淳元年、开耀二年壬午","682",,,"5","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年或居乡，姑系于此","",,"","",,,,,"杨洁"
"唐","张九龄","高宗弘道元年、永淳二年癸未","683",,,"6","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年或居乡，姑系于此","",,"","",,,,,"杨洁"
"唐","张九龄","中宗嗣圣元年、睿宗文明元年、武后光宅元年甲申","684",,,"7","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年入学，知属文","",,"","","熊飞《张九龄年谱新编》花木兰文化出版社2012年版 第9页",,,,"杨洁"
"唐","张九龄","武后垂拱元年乙酉","685",,,"8","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年或居乡，姑系于此","",,"","",,,,,"杨洁"
"唐","张九龄","武后垂拱二年丙戍","686",,,"9","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年或居乡，姑系于此","",,"","",,,,,"杨洁"
"唐","张九龄","武后垂拱三年丁亥","687",,,"10","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年在韶州家中读书","",,"","","熊飞《张九龄年谱新编》花木兰文化出版社2012年版 第10页",,,,"杨洁"
"唐","张九龄","武后垂拱四年戊子","688",,,"11","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年在韶州家中读书","",,"","","熊飞《张九龄年谱新编》花木兰文化出版社2012年版 第10页",,,,"杨洁"
"唐","张九龄","武后载初元年、永昌元年己丑","689",,,"12","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年在韶州家中读书","",,"","","熊飞《张九龄年谱新编》花木兰文化出版社2012年版 第11页",,,,"杨洁"
"唐","张九龄","武后天授元年庚寅","690",,,"13","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年或居乡，姑系于此。弟张九皋生","张九皋",,"","","顾建国《张九龄年谱》中国社会科学出版社，2005年版 第16页",,,,"杨洁"
"唐","张九龄","武后天授二年辛卯","691",,,"14","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年在韶州家中读书","",,"","","熊飞《张九龄年谱新编》花木兰文化出版社2012年版 第12页",,,,"杨洁"
"唐","张九龄","武周长寿元年、天授三年、如意元年壬辰","692",,,"15","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年或居乡，姑系于此","",,"","",,,,,"杨洁"
"唐","张九龄","武后长寿二年癸巳","693",,,"16","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年在韶州家中读书","",,"","","熊飞《张九龄年谱新编》花木兰文化出版社2012年版 第14页",,,,"杨洁"
"唐","张九龄","武则天延载元年甲午","694",,,"17","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年在韶州家中读书","",,"","","熊飞《张九龄年谱新编》花木兰文化出版社2012年版 第14页",,,,"杨洁"
"唐","张九龄","武后证圣元年、天册万岁元年乙未","695",,,"18","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年在韶州家中读书","",,"","","熊飞《张九龄年谱新编》花木兰文化出版社2012年版 第14页",,,,"杨洁"
"唐","张九龄","武后万岁登封元年、万岁通天元年丙申","696",,,"19","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年在韶州家中读书","",,"","","熊飞《张九龄年谱新编》花木兰文化出版社2012年版 第14页",,,,"杨洁"
"唐","张九龄","武则天神功元年丁酉","697",,,"20","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年州县乡试中试，被推举入京参加进士科考试","",,"","","熊飞《张九龄年谱新编》花木兰文化出版社2012年版 第15页",,,,"杨洁"
"唐","张九龄","武后圣历元年戊戌","698",,,"21","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年在韶州家中读书","",,"","","熊飞《张九龄年谱新编》花木兰文化出版社2012年版 第16页",,,,"杨洁"
"唐","张九龄","武后圣历二年己亥","699",,,"22","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年在韶州家中读书","",,"","","熊飞《张九龄年谱新编》花木兰文化出版社2012年版 第16页",,,,"杨洁"
"唐","张九龄","武周圣历三年、久视元年庚子","700",,,"23","","岭南道","韶州",,,"广东","韶关市","曲江区","113.611083","24.688501",,"是年在韶州家中读书","",,"","","熊飞《张九龄年谱新编》花木兰文化出版社2012年版 第16页",,,,"杨洁"
"唐","张九龄","武后长安元年辛丑","701",,,"24","","岭南道","广州",,,"广东","广州市",,"113.270793","23.135308",,"秋间，九龄应韶州赴广州应乡试。乡试中举后，旋被选贡入京应户部试。本次赴试途中疑作有诗","","《初发道中寄远》","Poem","初发道中寄远
日夜乡山远，秋风复此时。旧闻胡马思，今听楚猿悲。念别朝昏苦，怀归岁月迟。壮图空不息，常恐发如丝。","顾建国《张九龄年谱》中国社会科学出版社，2005年版 第24页",,,,"杨洁"
"唐","张九龄","武后长安二年壬寅","702",,,"25","","京畿道","京兆府",,,"陕西","西安市",,"108.946306","34.347436",,"春应进士考，考功郎沈佺期尤所激扬，使其一举高第","沈佺期",,"","","顾建国《张九龄年谱》中国社会科学出版社，2005年版 第26页",,,,"杨洁"
"唐","张九龄","武后长安三年癸卯","703","9",,"26","","岭南道","韶州",,,"广东","韶关市",,"113.603757","24.816174",,"是年居家读书。九月，张说被贬岭南，至迟在十一月前途经韶州时，九龄得以文章面呈之。张说览其文而厚遇之，并与通谱系。由此，两人结下了亲密的关系","张说",,"","","顾建国《张九龄年谱》中国社会科学出版社，2005年版 第29页",,,,"杨洁"
"唐","张九龄","武后长安三年癸卯","703",,,"26","","岭南道","韶州",,,"广东","韶关市",,"113.603757","24.816174",,"是年疑在家丁父忧","",,"","","顾建国《张九龄年谱》中国社会科学出版社，2005年版 第32页",,,,"杨洁"
"唐","张九龄","武后长安四年甲辰","704",,,"27","","岭南道","韶州",,,"广东","韶关市",,"113.603757","24.816174",,"家居读书，丁父忧","",,"","","顾建国《张九龄年谱》中国社会科学出版社，2005年版 第34页",,,,"杨洁"
"唐","张九龄","中宗神龙元年乙巳","705",,,"28","","岭南道","韶州",,,"广东","韶关市",,"113.603757","24.816174",,"居家读书，丁父忧。是年暮春，沈佺期流岭南驩州经韶州时，九龄或曾投刺拜见","沈佺期",,"","","顾建国《张九龄年谱》中国社会科学出版社，2005年版 第34页",,,,"杨洁"
"唐","张九龄","中宗神龙二年丙午","706",,,"29","","京畿道","京兆府",,,"陕西","西安市",,"108.946306","34.347436",,"秋，九龄赴西京应吏部重试及第，主持者李峤","李峤",,"","","顾建国《张九龄年谱》中国社会科学出版社，2005年版 第37页",,,,"杨洁"
"唐","张九龄","中宗神龙三年、景龙元年丁未","707",,,"30","","京畿道","京兆府",,,"陕西","西安市",,"108.946306","34.347436","秘书省校书郎","中材堪经邦科，授秘书省校书郎","",,"","","顾建国《张九龄年谱》中国社会科学出版社，2005年版 第38页",,,,"杨洁"
