朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","张彻","代宗大历十二年丁巳","777",,,"1","","河南道","徐州","符离",,"安徽","宿州市",,"116.970454","33.652034",,"出生","",,"","","陈冠明《张彻行年稽实》《安徽师大学报》1993年第1期第98页","祖践。父休，进士及第，曾为宣武节度使从事，官至尚书郎。",,,"陈冠明"
"唐","张彻","代宗大历十三年戊午","778",,,"2","","河南道","徐州","符离",,"安徽","宿州市",,"116.970454","33.652034",,"故乡家居","",,"","","陈冠明《张彻行年稽实》《安徽师大学报》1993年第1期第98页",,,,"陈冠明"
"唐","张彻","代宗大历十四年己未","779",,,"3","","河南道","徐州","符离",,"安徽","宿州市",,"116.970454","33.652034",,"故乡家居","",,"","","陈冠明《张彻行年稽实》《安徽师大学报》1993年第1期第98页",,,,"陈冠明"
"唐","张彻","德宗建中元年庚申","780",,,"4","","河南道","徐州","符离",,"安徽","宿州市",,"116.970454","33.652034",,"故乡家居","",,"","","陈冠明《张彻行年稽实》《安徽师大学报》1993年第1期第98页",,,,"陈冠明"
"唐","张彻","德宗建中二年辛酉","781",,,"5","","河南道","徐州","符离",,"安徽","宿州市",,"116.970454","33.652034",,"故乡家居","",,"","","陈冠明《张彻行年稽实》《安徽师大学报》1993年第1期第98页",,,,"陈冠明"
"唐","张彻","德宗建中三年壬戌","782",,,"6","","河南道","徐州","符离",,"安徽","宿州市",,"116.970454","33.652034",,"故乡家居","",,"","","陈冠明《张彻行年稽实》《安徽师大学报》1993年第1期第98页",,,,"陈冠明"
"唐","张彻","德宗建中四年癸亥","783",,,"7","","河南道","徐州","符离",,"安徽","宿州市",,"116.970454","33.652034",,"故乡家居","",,"","","陈冠明《张彻行年稽实》《安徽师大学报》1993年第1期第98页",,,,"陈冠明"
"唐","张彻","德宗兴元元年甲子","784",,,"8","","河南道","徐州","符离",,"安徽","宿州市",,"116.970454","33.652034",,"故乡家居","",,"","","陈冠明《张彻行年稽实》《安徽师大学报》1993年第1期第98页",,,,"陈冠明"
"唐","张彻","德宗贞元元年乙丑","785",,,"9","","河南道","徐州","符离",,"安徽","宿州市",,"116.970454","33.652034",,"故乡家居","",,"","","陈冠明《张彻行年稽实》《安徽师大学报》1993年第1期第98页",,,,"陈冠明"
"唐","张彻","德宗贞元二年丙寅","786",,,"10","","河南道","徐州","符离",,"安徽","宿州市",,"116.970454","33.652034",,"故乡家居","",,"","","陈冠明《张彻行年稽实》《安徽师大学报》1993年第1期第98页",,,,"陈冠明"
