朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","张籍","代宗大历元年丙午","766",,,"1","",,,,,"安徽","马鞍山市","和县","118.293882","31.716472",,"是年出生于安徽和县","",,"","","罗联添《唐代诗文六家年谱》，学海出版社1986年版第161页",,,,"邹福清"
"唐","张籍","代宗大历二年丁未","767",,,"2","",,,,,"安徽","马鞍山市","和县","118.293882","31.716472",,"是年或家居，姑系于此","",,"","","罗联添《唐代诗文六家年谱》，学海出版社1986年版第162页",,,,"杨洁"
"唐","张籍","代宗大历三年戊申","768",,,"3","",,,,,"安徽","马鞍山市","和县","118.293882","31.716472",,"是年或家居，姑系于此","",,"","","罗联添《唐代诗文六家年谱》，学海出版社1986年版第162页",,,,"杨洁"
"唐","张籍","代宗大历四年己酉","769",,,"4","",,,,,"安徽","马鞍山市","和县","118.293882","31.716472",,"是年或家居，姑系于此","",,"","","罗联添《唐代诗文六家年谱》，学海出版社1986年版第162页",,,,"杨洁"
"唐","张籍","代宗大历五年庚戌","770",,,"5","",,,,,"安徽","马鞍山市","和县","118.293882","31.716472",,"是年或家居，姑系于此","",,"","","罗联添《唐代诗文六家年谱》，学海出版社1986年版第162页",,,,"杨洁"
"唐","张籍","代宗大历六年辛亥","771",,,"6","",,,,,"安徽","马鞍山市","和县","118.293882","31.716472",,"是年或家居，姑系于此","",,"","","罗联添《唐代诗文六家年谱》，学海出版社1986年版第162页",,,,"杨洁"
"唐","张籍","代宗大历七年壬子","772",,,"7","",,,,,"安徽","马鞍山市","和县","118.293882","31.716472",,"是年或家居，姑系于此","",,"","","罗联添《唐代诗文六家年谱》，学海出版社1986年版第162页",,,,"杨洁"
"唐","张籍","代宗大历八年癸丑","773",,,"8","",,,,,"安徽","马鞍山市","和县","118.293882","31.716472",,"是年或家居，姑系于此","",,"","","罗联添《唐代诗文六家年谱》，学海出版社1986年版第163页",,,,"杨洁"
"唐","张籍","代宗大历九年甲寅","774",,,"9","",,,,,"安徽","马鞍山市","和县","118.293882","31.716472",,"是年或家居，姑系于此","",,"","","罗联添《唐代诗文六家年谱》，学海出版社1986年版第163页",,,,"杨洁"
"唐","张籍","代宗大历十年乙卯","775",,,"10","",,,,,"安徽","马鞍山市","和县","118.293882","31.716472",,"是年或家居，姑系于此","",,"","","罗联添《唐代诗文六家年谱》，学海出版社1986年版第163页",,,,"杨洁"
"唐","张籍","代宗大历十年乙卯","775",,,"10","",,,,,"安徽","马鞍山市","和县","118.293882","31.716472",,"家居识于嵩","于嵩",,"","","徐礼节、余恕诚《张籍集系年校注》附《张籍谱略》，中华书局2011年版第1055页",,,,"邹福清"
"唐","张籍","代宗大历十一年丙辰","776",,,"11","",,,,,"安徽","马鞍山市","和县","118.293882","31.716472",,"是年或家居，姑系于此","",,"","","罗联添《唐代诗文六家年谱》，学海出版社1986年版第163页",,,,"邹福清"
"唐","张籍","代宗大历十二年丁巳","777",,,"12","",,,,,"安徽","马鞍山市","和县","118.293882","31.716472",,"是年或家居，姑系于此","",,"","","罗联添《唐代诗文六家年谱》，学海出版社1986年版第163页",,,,"邹福清"
"唐","张籍","代宗大历十三年戊午","778",,,"13","",,,,,"安徽","马鞍山市","和县","118.293882","31.716472",,"是年或家居，姑系于此","",,"","","罗联添《唐代诗文六家年谱》，学海出版社1986年版第163页",,,,"邹福清"
"唐","张籍","代宗大历十四年己未","779",,,"14","",,,,,"安徽","马鞍山市","和县","118.293882","31.716472",,"家居见于嵩，问张巡、许远事","于嵩",,"","","罗联添《唐代诗文六家年谱》，学海出版社1986年版第163页",,,,"邹福清"
"唐","张籍","德宗建中元年庚申","780",,,"15","",,,,,,,,"0","0",,"不详","",,"","","罗联添《唐代诗文六家年谱》，学海出版社1986年版第164页",,,,"邹福清"
"唐","张籍","德宗建中二年辛酉","781",,,"16","",,,,,"江苏","苏州市",,"120.589613","31.304566",,"游苏州，有诗纪行，其间识于鹄","于鹄","送远曲（吴门向西流水长）","Poem","送远曲
吴门向西流水长，水长柳暗烟茫茫。行人送客各惆怅，话离叙别倾清觞。吟丝竹，鸣笙簧，酒酣性逸歌猖狂。行人告我挂帆去，此去何时返故乡。殷勤振衣两相嘱，世事近来还浅促。愿君看取吴门山，带雪经春依旧绿。行人行处求知亲，送君去去徒酸辛。","徐礼节、余恕诚《张籍集系年校注》附《张籍谱略》，中华书局2011年版第1055页",,,,"邹福清"
"唐","张籍","德宗建中二年辛酉","781",,,"16","",,,,,"浙江","湖州市",,"120.094566","30.899015",,"游湖州，有诗纪行","","《霅溪西亭晚望》","Poem","霅溪西亭晚望
霅水碧悠悠，西亭柳岸头。夕阴生远岫，斜照逐回流。此地动归思，逢人方倦游。吴兴耆旧尽，空见白蘋州。","徐礼节、余恕诚《张籍集系年校注》附《张籍谱略》，中华书局2011年版第1055页",,,,"邹福清"
"唐","张籍","德宗建中三年壬戌","782",,,"17","",,,,,"安徽","马鞍山市","和县","118.293882","31.716472",,"不详","",,"","","罗联添《唐代诗文六家年谱》，学海出版社1986年版第164页",,,,"邹福清"
"唐","张籍","德宗建中四年癸亥","783",,,"18","",,,,,"江苏","徐州市",,"117.29235","34.210143",,"北上河北，经徐州，途中有诗","","《泗水行》","Poem","泗水行
泗水流急石纂纂，鲤鱼上下红尾短。春冰销散日华满，行舟往来浮桥断。城边鱼市人早行，水烟漠漠多棹声。","徐礼节、余恕诚《张籍集系年校注》附《张籍谱略》，中华书局2011年版第1056页",,,,"邹福清"
"唐","张籍","德宗建中四年癸亥","783",,,"18","",,,,,"江苏","徐州市",,"117.29235","34.210143",,"北上河北，经徐州，途中有诗","","送远曲（戏马台南山簇簇）","Poem","送远曲
戏马台南山簇簇，山边饮酒歌别曲。行人醉后起登车，席上回尊劝僮仆。青天漫漫覆长路，远游无家安得住。愿君到处自题名，他日知君从此去。","徐礼节、余恕诚《张籍集系年校注》附《张籍谱略》，中华书局2011年版第1056页",,,,"邹福清"
"唐","张籍","德宗建中四年癸亥","783",,,"18","",,,,,"河北","邯郸市",,"114.545808","36.631222",,"游河北，与王建相逢于邯郸、邺城一带","王建",,"","","徐礼节、余恕诚《张籍集系年校注》附《张籍谱略》，中华书局2011年版第1056页",,,,"邹福清"
"唐","张籍","德宗兴元元年甲子","784",,,"19","",,,,,,,,"0","0",,"不详","",,"","","罗联添《唐代诗文六家年谱》，学海出版社1986年版第164页",,,,"邹福清"
