朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"五代","李煜","后晋高祖天福二年丁酉","937",,,"1","",,,,,"江苏","南京市",,"118.802891","32.064735",,"李煜生于本年7月7日，初名从嘉","",,"","","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版，上海古籍出版社1979年版第91页",,,,"王小兰"
"五代","李煜","后晋高祖天福三年戊戌","938",,,"2","",,,,,"江苏","南京市",,"118.802891","32.064735",,"或在金陵","",,"","",,,,,"王小兰"
"五代","李煜","后晋高祖天福四年己亥","939",,,"3","",,,,,"江苏","南京市",,"118.802891","32.064735",,"或在金陵","",,"","",,,,,"王小兰"
"五代","李煜","后晋高祖天福五年庚子","940",,,"4","",,,,,"江苏","南京市",,"118.802891","32.064735",,"《花间集》结集，欧阳炯序作于本年四月。与后主不相及","",,"","","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第93页",,,,"王小兰"
"五代","李煜","后晋高祖天福六年辛丑","941",,,"5","",,,,,"江苏","南京市",,"118.802891","32.064735",,"或在金陵","",,"","",,,,,"王小兰"
"五代","李煜","后晋出帝天福七年壬寅","942",,,"6","",,,,,"江苏","南京市",,"118.802891","32.064735",,"或在金陵","",,"","",,,,,"王小兰"
"五代","李煜","后晋出帝天福八年癸卯","943",,,"7","",,,,,"江苏","南京市",,"118.802891","32.064735",,"先祖卒，中主嗣位","",,"","","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第93页",,,,"王小兰"
"五代","李煜","后晋出帝开运元年甲辰/天福九年","944",,,"8","",,,,,"江苏","南京市",,"118.802891","32.064735",,"或在金陵","",,"","",,,,,"王小兰"
"五代","李煜","后晋出帝开运二年乙巳","945",,,"9","",,,,,"江苏","南京市",,"118.802891","32.064735",,"或在金陵","",,"","",,,,,"王小兰"
"五代","李煜","后晋出帝开运三年丙午","946",,,"10","",,,,,"江苏","南京市",,"118.802891","32.064735",,"或在金陵","",,"","",,,,,"王小兰"
"五代","李煜","后汉高祖天福十二年丁未/五代后晋出帝开运四年","947",,,"11","",,,,,"江苏","南京市",,"118.802891","32.064735",,"或在金陵","",,"","",,,,,"王小兰"
"五代","李煜","后汉隐帝乾祐元年戊申/高祖乾祐元年","948",,,"12","",,,,,"江苏","南京市",,"118.802891","32.064735",,"或在金陵","",,"","",,,,,"王小兰"
"五代","李煜","后汉隐帝乾祐二年己酉","949",,,"13","",,,,,"江苏","南京市",,"118.802891","32.064735",,"小周后约生于此年","",,"","","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第99页",,,,"王小兰"
"五代","李煜","后汉隐帝乾祐三年庚戌","950",,,"14","",,,,,"江苏","南京市",,"118.802891","32.064735",,"或在金陵","",,"","",,,,,"王小兰"
"五代","李煜","后周太祖广顺元年辛亥","951",,,"15","",,,,,"江苏","南京市",,"118.802891","32.064735",,"或在金陵","",,"","",,,,,"王小兰"
"五代","李煜","后周太祖广顺二年壬子","952",,,"16","",,,,,"江苏","南京市",,"118.802891","32.064735",,"或在金陵","",,"","",,,,,"王小兰"
"五代","李煜","后周太祖广顺三年癸丑","953",,,"17","",,,,,"江苏","南京市",,"118.802891","32.064735",,"或在金陵","",,"","",,,,,"王小兰"
"五代","李煜","后周太祖显德元年甲寅","954",,,"18","",,,,,"江苏","南京市",,"118.802891","32.064735",,"纳大周后（后本年十九岁）","",,"","","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第102页",,,,"王小兰"
"五代","李煜","后周世宗显德二年乙卯","955","12",,"19","",,,,,"江苏","南京市",,"118.802891","32.064735",,"十二月，以安定郡公为沿江巡抚使","",,"","","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第103页",,,,"王小兰"
"五代","李煜","后周世宗显德三年丙辰","956",,,"20","",,,,,"江苏","南京市",,"118.802891","32.064735",,"或在金陵","",,"","",,,,,"王小兰"
"五代","李煜","后周世宗显德四年丁巳","957",,,"21","",,,,,"江苏","南京市",,"118.802891","32.064735",,"或在金陵","",,"","",,,,,"王小兰"
"五代","李煜","后周世宗显德五年戊午","958",,,"22","",,,,,"江苏","南京市",,"118.802891","32.064735",,"后主长子仲宇生。中主璟改名景，去帝号，称国主。去交泰年号，称显德五年","",,"","","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第104页",,,,"王小兰"
"五代","李煜","后周世宗显德六年己未","959",,,"23","",,,,,"江苏","南京市",,"118.802891","32.064735",,"自郑王徙吴王，以尚书令知政事居东宫。开崇文馆招贤士","",,"","","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第107页",,,,"王小兰"
"五代","李煜","宋太祖建隆元年庚申/五代后周恭宗显德七年","960",,,"24","",,,,,"江苏","南京市",,"118.802891","32.064735",,"或在金陵","",,"","",,,,,"王小兰"
"五代","李煜","宋太祖建隆二年辛酉","961","2",,"25","",,,,,"江苏","南京市",,"118.802891","32.064735",,"二月，迁都洪州。更名煜,立为太子，留金陵监国。六月庚申，中主殂于南都。七月，嗣位于金陵。次子仲宣生","",,"","","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第109页",,,,"王小兰"
"五代","李煜","宋太祖建隆三年壬戌","962","1",,"26","",,,,,"江苏","南京市",,"118.802891","32.064735",,"正月，葬中主于顺陵。三月，遣冯延鲁贡宋","",,"","","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第112页",,,,"王小兰"
"五代","李煜","宋太祖乾德元年癸亥/建隆四年","963",,,"27","",,,,,"江苏","南京市",,"118.802891","32.064735",,"大周后作霓裳羽衣曲","",,"","","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第113页",,,,"王小兰"
"五代","李煜","宋太祖乾德元年癸亥/建隆四年","963","3",,"27","",,,,,"江苏","南京市",,"118.802891","32.064735",,"三月，遣使犒宋师平荆南","",,"","","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第112页",,,,"杨洁"
"五代","李煜","宋太祖乾德二年甲子","964","10",,"28","",,,,,"江苏","南京市",,"118.802891","32.064735",,"十月，次子仲宣卒。煜作《挽辞二首》","","《挽辞二首》","Poem","挽辞 其一
珠碎眼前珍，花凋世外春。未销心里恨，又失掌中身。玉笥犹残药，香奁已染尘。前哀将后感，无泪可沾巾。
挽辞 其二
艳质同芳树，浮危道略同。正悲春落实，又苦雨伤丛。秾丽今何在？飘零事已空。沈沈无问处，千载谢东风。","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第116页","此诗见《全唐诗》卷八，上海古籍出版社，1986年版，第36页中。",,,"王小兰"
"五代","李煜","宋太祖乾德二年甲子","964","10",,"28","",,,,,"江苏","南京市",,"118.802891","32.064735",,"十月，次子仲宣卒。煜作诗，哀悼次子","","《悼诗》","Poem","悼诗
永念难消释，孤怀痛自嗟。雨深秋寂莫，愁引病增加。咽绝风前思，昏濛眼上花。空王应念我，穷子正迷家。","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第116页","此诗见《全唐诗》卷八，上海古籍出版社，1986年版，第36页中。",,,"王小兰"
"五代","李煜","宋太祖乾德二年甲子","964","11",,"28","",,,,,"江苏","南京市",,"118.802891","32.064735",,"十一月，大周后卒，作文记之","","《昭惠后诔》","Article","昭惠周后诔
天长地久，嗟嗟蒸民。嗜欲既胜，悲叹纠纷。缘情攸宅，触事来津。赀盈世逸，乐鲜愁殷。沈乌逞兔，茂夏凋春。年弥念旷，得故忘新。阙景颓岸，世阅川奔。外物交感，犹伤昔人。诡梦高唐，诞誇洛浦。搆屈平虚，亦悯终古。况我心摧，兴哀有地。苍苍何辜，歼予伉俪。窈窕难追，不禄于世。玉润珠融，殒然破碎。柔仪俊德，孤映鲜双。纤秾挺秀，婉娈开扬。艳不至冶，慧或无伤。盘绅奚戒，慎肃惟常。环佩爰节，造次有章。含颦发笑，擢秀腾芳。鬓云留鉴，眼彩飞光。情澜春媚，爱语风香。瑰姿禀异，金冶昭祥。婉容无犯，均教多方。茫茫独逝，舍我何乡。昔我新昏，燕尔情好。媒无劳辞，筮无违报。归妹邀终，咸爻协兆。俛仰同心，绸缪是道。执子之手，与子偕老。今也如何，不终往告。呜呼哀哉，志心既达。孝爱克全，殷勤柔握。力折危言，遗情眄眄。哀泪涟涟，何为忍心。览此哀编，绝艳易凋。连城易脆，实曰能容。壮心是醉，信美堪餐。朝饥是慰，如何一旦。同心旷世，呜呼哀哉。丰才富艺，女也克肖。采戏传能，奕棋逞妙。媚动占相，歌萦柔调。兹鼗爰质，奇器传华。翠虬一举，红袖飞花。情驰天际，思栖云涯。发扬掩抑，纤紧洪奢。穷幽极致，莫得微瑕。审音者仰止，达乐者兴嗟。曲演来迟，破传邀舞。利拨迅手，吟商逞羽。制革常调，法移往度。剪遏繁态，蔼成新矩。霓裳旧曲，韬音沦世。失味齐音，犹伤孔氏。故国遗声，忍乎湮坠。我稽其美，尔扬其秘。程度馀律，重新雅制。非子而谁，诚吾有类。今也则亡，永从遐逝。呜呼哀哉，该兹硕美。郁此芳风，事传遐祀。人难与同，式瞻虚馆。空寻所踪，追悼良时。心存目忆，景旭雕甍。风和绣额，燕燕交音。洋洋接色，蝶乱落花。雨晴寒食，接辇穷欢。是宴是息，含桃荐实。畏日流空，林彫晚箨。莲舞疏红，烟轻丽服。雪莹修容，纤眉范月。高髻淩风，辑柔尔颜。何乐靡从，蝉响吟愁。槐凋落怨，四气穷哀。萃此秋宴，我心无忧。物莫能乱，弦尔清商。艳尔醉盼，情如何其。式歌且宴，寒生蕙幄。雪舞兰堂，珠笼暮捲。金炉夕香，丽尔渥丹。婉尔清扬，厌厌夜饮。予何尔忘，年去年来。殊欢逸赏，不足光阴。先怀怅怏，如何倏然。巳为畴曩，呜呼哀哉。孰谓逝者，荏苒弥疏。我思姝子，永念犹初。爱而不见，我心燬如。寒暑斯疚，吾宁御诸。呜呼哀哉，万物无心。风烟若故，惟日惟月。以阴以雨，事则依然。人乎何所，悄悄房栊。孰堪其处，呜呼哀哉。佳名镇在，望月伤娥。双眸永隔，见镜无波。皇皇望绝，心如之何。暮树苍苍，哀摧无际。历历前欢，多多遗致。丝竹声悄，绮罗香杳。想涣乎忉怛，恍越乎悴憔。呜呼哀哉，岁云暮兮。无相见期，情瞀乱兮。谁将因依，维昔之时兮亦如此。维今之心兮不如斯，呜呼哀哉。神之不仁兮，敛怨为德。既取我子兮，又毁我室。镜重轮兮何年，兰袭香兮何日。呜呼哀哉，天漫漫兮愁云曀。空暧暧兮愁烟起，蛾眉寂寞兮闭佳城。哀寝悲氛兮竟徒尔，呜呼哀哉。日月有时兮龟蓍既许，箫笳凄咽兮旂常是举。龙輀一驾兮无来辕，金屋千秋兮永无主。呜呼哀哉，木交枸兮风索索。鸟相鸣兮飞翼翼，吊孤影兮孰我哀。私自怜兮痛无极，呜呼哀哉。夜寤皆感兮何响不哀，穷求弗获兮此心隳摧。号无声兮何续，神永逝兮长乖。呜呼哀哉，杳杳香魂。茫茫天步，抆血抚榇。邀子何所，苟云路之可穷。冀传情于方士，呜呼哀哉。","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版117第117页","此文见《全唐文》卷一二八，上海古籍出版社，1990年版，第564页下。",,,"王小兰"
"五代","李煜","宋太祖乾德二年甲子","964",,,"28","",,,,,"江苏","南京市",,"118.802891","32.064735",,"悼大周后诗，《夏》谱系于此年","","《感怀二首》（又见桐花）","Poem","感怀 其一
又见桐花发旧枝，一楼烟雨暮凄凄。凭阑惆怅人谁会，不觉潸然泪眼低。","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第117页","此诗见《全唐诗》卷八，第36页中。",,,"王小兰"
"五代","李煜","宋太祖乾德二年甲子","964",,,"28","",,,,,"江苏","南京市",,"118.802891","32.064735",,"悼大周后诗，《夏》谱系于此年","","《梅花二首》","Poem","梅花
殷勤移植地，曲槛小阑边。共约重芳日，还忧不盛妍。阻风开步障，乘月溉寒泉。谁料花前后，蛾眉却不全。
梅花
失却烟花主，东君自不知。清香更何用，犹发去年枝。","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第117页","此诗见《全唐诗》卷八，第36页中。",,,"王小兰"
"五代","李煜","宋太祖乾德二年甲子","964",,,"28","",,,,,"江苏","南京市",,"118.802891","32.064735",,"悼大周后诗，《夏》谱系于此年","","《书灵筵手巾》","Poem","书灵筵手巾
浮生共憔悴，壮岁失婵娟。汗手遗香渍，痕眉染黛烟。","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第117页","此诗见《全唐诗》卷八，第36页中。",,,"王小兰"
"五代","李煜","宋太祖乾德二年甲子","964",,,"28","",,,,,"江苏","南京市",,"118.802891","32.064735",,"悼大周后诗，《夏》谱系于此年","","《书琵琶背》","Poem","书琵琶背
侁自肩如削，难胜数缕绦。天香留凤尾，馀煖在檀槽。","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第117页","此诗见《全唐诗》卷八，第36页中。",,,"王小兰"
"五代","李煜","宋太祖乾德三年乙丑","965","1","10","29","",,,,,"江苏","南京市",,"118.802891","32.064735",,"正月十日，后蜀被宋所灭。葬昭惠后于懿陵","",,"","","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第119页",,,,"王小兰"
"五代","李煜","宋太祖乾德四年丙寅","966","8",,"30","",,,,,"江苏","南京市",,"118.802891","32.064735",,"八月，受宋命，令知制诰潘佑作书与南汉主，约与俱事宋","",,"","","夏承焘《唐宋词人年谱》，上海古籍出版社1979年版第120页",,,,"杨洁"
"五代","李煜","宋太祖乾德四年丙寅","966",,,"30","",,,,,"江苏","南京市",,"118.802891","32.064735",,"议纳小周后。或在此期间有与其幽情的相关词作，姑系于此","","《菩萨蛮》（花明月暗笼轻雾）","Ci","菩萨蛮 其一
花明月暗笼轻雾，今宵好向郎边去。刬袜步香阶，手提金缕鞋。画堂南畔见，一晌偎人颤。好为出来难，教君恣意怜。","陈书良、刘娟笺注；王仲闻校注《南唐二主词笺注》中华书局2013年版第85页",,,,"杨洁"
