朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","杨炯","高宗永徽元年庚戍","650",,,"1","","京畿道","华州","华阴",,"陕西","渭南市","华阴市","110.098671","34.57172",,"居于家乡华阴","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第53页",,,,"黄俊杰"
"唐","杨炯","高宗永徽二年辛亥","651",,,"2","","京畿道","华州","华阴",,"陕西","渭南市","华阴市","110.098671","34.57172",,"居于家乡华阴","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第55页",,,,"黄俊杰"
"唐","杨炯","高宗永徽三年壬子","652",,,"3","","京畿道","华州","华阴",,"陕西","渭南市","华阴市","110.098671","34.57172",,"居于家乡华阴","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第58页",,,,"黄俊杰"
"唐","杨炯","高宗永徽四年癸丑","653",,,"4","","京畿道","华州","华阴",,"陕西","渭南市","华阴市","110.098671","34.57172",,"居于家乡华阴","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第60页",,,,"黄俊杰"
"唐","杨炯","高宗永徽五年甲寅","654",,,"5","","京畿道","华州","华阴",,"陕西","渭南市","华阴市","110.098671","34.57172",,"居于家乡华阴","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第61页",,,,"黄俊杰"
"唐","杨炯","高宗永徽六年乙卯","655",,,"6","","京畿道","华州","华阴",,"陕西","渭南市","华阴市","110.098671","34.57172",,"居于家乡华阴","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第65页",,,,"黄俊杰"
"唐","杨炯","高宗显庆元年丙辰","656",,,"7","","京畿道","华州","华阴",,"陕西","渭南市","华阴市","110.098671","34.57172",,"居于家乡华阴","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第67页",,,,"黄俊杰"
"唐","杨炯","高宗显庆二年丁巳","657",,,"8","","京畿道","华州","华阴",,"陕西","渭南市","华阴市","110.098671","34.57172",,"居于家乡华阴","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第68页",,,,"黄俊杰"
"唐","杨炯","高宗显庆三年戊午","658",,,"9","","京畿道","华州","华阴",,"陕西","渭南市","华阴市","110.098671","34.57172",,"居于家乡华阴","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第71页",,,,"黄俊杰"
"唐","杨炯","高宗显庆四年己未","659",,,"10","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"应神童举,待制弘文馆","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.74-75",,,,"黄俊杰"
"唐","杨炯","高宗显庆五年庚申","660",,,"11","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"待制弘文馆","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第76页",,,,"黄俊杰"
"唐","杨炯","高宗龙朔元年、显庆六年辛酉","661",,,"12","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"待制弘文馆","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第80页",,,,"黄俊杰"
"唐","杨炯","高宗龙朔二年壬戌","662",,,"13","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"待制弘文馆","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第87页",,,,"黄俊杰"
"唐","杨炯","高宗龙朔三年癸亥","663",,,"14","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"待制弘文馆.或于此年始与王勃交","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.89-90",,,,"黄俊杰"
"唐","杨炯","高宗麟德元年甲子","664",,,"15","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"待制弘文馆","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第94页",,,,"黄俊杰"
"唐","杨炯","高宗麟德二年乙丑","665",,,"16","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"待制弘文馆","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第97页",,,,"黄俊杰"
"唐","杨炯","高宗乾封元年丙寅","666",,,"17","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"待制弘文馆","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第104页",,,,"黄俊杰"
"唐","杨炯","高宗乾封二年丁卯","667",,,"18","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"待制弘文馆.潜心读书,作《卧读书架赋》","","《卧读书架赋》","Fu","卧读书架赋
儒有传经在乎致远。力学在乎请益。士安号于书淫。元凯称于传癖。高眠孰可。讵贻边子之嘲。甘寝则那。宁耻宰予之责。伊国工而尝巧。度山林以为格。既有奉于诗书。故无违于枕席。朴斲初成。因夫美名。两足山立。双钩月生。从绳运斤。义且得于方正。量枘制凿。术乃取于纵横。功因期于学殖。业可究于经明。不劳于手。无费于目。开卷则气杂香芸。挂编则色联翠竹。风清夜浅。每待蘧蘧之觉。日永春深。常偶便便之腹。股因兹而罢刺。膺由是而无伏。庶思覃于下帏。岂遽留而更读。其利何如。其乐只且。巾遂挂于帘幌。履谁曳于阶除。每偶草元之字。不亲非圣之书。比角枕而嗟若。匹瑶琴而病诸。尔其临窗有风。闭户多雪。自得陶潜之兴。仍秉袁安之节。既幽独而多閒。遂凭兹而遍阅。读易则期于索隐。习礼则防于志悦。倘叔夜之神交。固周公之梦绝。其始也一木所为。其用也万卷可披。墨沼之前。谓江帆之乍至。书林之下。若云翼之新垂。动静随于语默。出处任于挽推。必欲事于所事。实斯焉而取斯。因谓之曰。尔有卷兮尔有舒。为道可以集虚。尔有方兮尔有直。为行可以立德。济笔海兮尔为舟航。骋文囿兮尔为羽翼。故吾不知夫不可。聊逍遥以宴息。","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第107页","徐明霞点校《卢照邻集杨炯集》中华书局1980年版卷1第8页",,,"黄俊杰"
"唐","杨炯","高宗总章元年戊辰","668",,,"19","","京畿道","华州","华阴",,"陕西","渭南市","华阴市","110.098671","34.57172",,"邀王勃一同回华阴","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.114-115",,,,"黄俊杰"
"唐","杨炯","高宗总章元年戊辰","668",,,"19","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"因久困选调,颇怀怨愤,称无德无才之官为“麒麟楦”","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第115页",,,,"黄俊杰"
"唐","杨炯","高宗总章二年己巳","669","4",,"20","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"四月,王勃因檄文被斥出沛王府,杨炯曾前往慰问","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第126页",,,,"黄俊杰"
