朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","柳宗元","代宗大历八年癸丑","773",,,"1","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"出生长安，父为长安主簿","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第94页",,,,"洪迎华"
"唐","柳宗元","代宗大历九年甲寅","774",,,"2","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居长安","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第95页",,,,"洪迎华"
"唐","柳宗元","代宗大历十年乙卯","775",,,"3","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居长安","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第95页",,,,"洪迎华"
"唐","柳宗元","代宗大历十一年丙辰","776",,,"4","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居长安，母教以古赋十四首，皆讽传之","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第95页",,,,"洪迎华"
"唐","柳宗元","代宗大历十二年丁巳","777",,,"5","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居长安","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第95页",,,,"洪迎华"
"唐","柳宗元","代宗大历十三年戊午","778",,,"6","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居长安","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第95页",,,,"洪迎华"
"唐","柳宗元","代宗大历十四年己未","779",,,"7","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居长安","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第95页",,,,"洪迎华"
"唐","柳宗元","德宗建中元年庚申","780",,,"8","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居长安","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第95页",,,,"洪迎华"
"唐","柳宗元","德宗建中二年辛酉","781",,,"9","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居长安","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第96页",,,,"洪迎华"
"唐","柳宗元","德宗建中三年壬戌","782",,,"10","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居长安","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第96页",,,,"洪迎华"
"唐","柳宗元","德宗建中四年癸亥","783",,,"11","","河东道","虢州","阌乡",,"河南","三门峡市","灵宝市","110.90097","34.523086",,"父柳镇约本年前后为阌乡令，宗元随父至","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第96页",,,,"洪迎华"
"唐","柳宗元","德宗兴元元年甲子","784",,,"12","","江南西道","鄂州","江夏",,"湖北","武汉市",,"114.311831","30.598428",,"父柳镇任鄂岳沔都团练使判官，宗元随父至任所夏口","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第96页",,"唐鄂州江夏县，晋、宋谓之夏口",,"洪迎华"
"唐","柳宗元","德宗贞元元年乙丑","785",,,"13","","江南西道","潭州","长沙",,"湖南","长沙市","长沙县","113.087489","28.251769",,"南游长沙，与德公别。后有《长沙驿前南楼感旧》诗怀旧","德公",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第96页",,"德公不详其人",,"洪迎华"
"唐","柳宗元","德宗贞元元年乙丑","785",,,"13","","江南西道","江州","浔阳",,"江西","九江市",,"116.007993","29.711328",,"鄂岳沔都团练使李兼移镇江西，父柳镇作为李兼判官，疑一同前往。宗元随父至其任所，得拜萧炼于九江","萧炼",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期96-97",,,,"洪迎华"
"唐","柳宗元","德宗贞元二年丙寅","786",,,"14","",,,,,,,,"0","0",,"父宦游外地，宗元随行","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第97页",,,,"洪迎华"
"唐","柳宗元","德宗贞元三年丁卯","787",,,"15","",,,,,,,,"0","0",,"父宦游外地，宗元随行","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第97页",,,,"洪迎华"
"唐","柳宗元","德宗贞元四年戊辰","788",,,"16","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"父柳镇入朝为殿中侍御史，宗元随父至长安","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第97页",,,,"洪迎华"
"唐","柳宗元","德宗贞元五年己巳","789",,,"17","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"求进士未第。自后，连年在京应进士举。父柳镇贬夔州司马","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第98页",,,,"洪迎华"
"唐","柳宗元","德宗贞元六年庚午","790",,,"18","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"应进士落第。左补阙权德舆以奖掖才士著称，与宗元为故旧，故献启希求奖掖，以驰声成名","权德舆","《上权德舆补阙温卷决进退启》","Article","上权德舆补阙温卷决进退启
补阙执事。宗元闻之。重远轻迩。贱视贵听。所由古矣。窃以宗元幼不知耻。少又躁进。拜揖长者。自于幼年。是以簉俊造之末迹。厕牒计之下列。贾艺求售。阒无善价。载文笔而都儒林者。匪亲乃旧。率皆携抚相示。谈笑见眤。喔咿逡巡。为达者嗤。无乃睹其朴者鄙其成。狎其幼者薄其长耶。将行不拔异。操不砥砺。学不该广。文不炳耀。实可鄙而薄耶。今鸳鹭充朝。而独干执事者。特以顾下念旧。收接儒素。异乎他人耳。敢问厥由。庶几告之。俾识去就。幸甚幸甚。今将慷慨激昂。奋攘布衣。纵谈作者之筵。曳裾名卿之门。抵掌峨弁。厚自润泽。进越无恧。污达者之视听。狂狷愚妄。固不可为也。复欲俛默惕息。謺足蹋翼。拜祈公侯之阍。跪邀贤达之车。竦魂慄股。兢恪危惧。荣者倦之。弥忿厥心。又不可为也。若慎守其常。确执厥中。固其所矣。则又色平气柔。言讷性鲁。无特达之节。无推择之行。琐琐碌碌。一孺子耳。孰谓其可进。孰谓其可退。抑又闻之。不鼓踊无以超泥涂。不曲促无以由险艰。不守常无以处明分。不执中无以趋夷轨。今则鼓踊乎。曲促乎。守其常而执厥中乎。浩不知其宜矣。进退无倚。宵不遑寐。乃访于故人而咨度之。其人曰。补阙权君。著名踰纪。行为人高。言为人信。力学掞文。朋侪称雄。子亟拜之。足以发扬。对曰。衷燕石而履元圃。带鱼目而游涨海。祗取诮耳。曷予补乎。其人曰。迹之勤者。情必生焉。心之恭者。礼必报焉。况子之文。不甚鄙薄者乎。苟或勤以奉之。恭以下之。则必勖励尔行。辉耀尔能。言为建瓴。晨发夕被。声驰而响溢。风振而草靡。可使尺泽之鲵。奋鳞而纵海。密网之鸟。举羽而翔霄。子之一名。何足就矣。庶为终身之遇乎。曷不举驰声之资。挈成名之基。授之权君。然后退行守常执中之道。斯可也。愚不敏。以为信然。是以有前日之拜。又以为色取象恭。大贤所饫。朝造夕谒。大贤所倦。性颇疏野。窃又不能。是以有今兹之问。仰惟览其鄙心而去就之。洁诚斋虑。不胜至愿。谨再拜。","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第98页","《柳宗元集》卷36第909页，中华书局1979年版",,,"洪迎华"
"唐","柳宗元","德宗贞元六年庚午","790",,,"18","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"应省试，作应试诗","","《省试观庆云图诗》","Poem","省试观庆云图诗
设色既成象，卿云示国都。九天开秘祉，百辟赞嘉谟。抱日依龙衮，非烟近御炉。高标连汗漫，迥望接虚无。裂素荣光发，舒华瑞色敷。恒将配尧德，垂庆代河图。","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第98页","《柳宗元集》卷43第1262页，中华书局1979年版","《省试观庆云图诗》为宗元现存最早诗作",,"洪迎华"
"唐","柳宗元","德宗贞元七年辛未","791",,,"19","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居长安应举","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第98页",,,,"洪迎华"
"唐","柳宗元","德宗贞元八年壬申","792",,,"20","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居长安应举。父柳镇还为侍御史","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第98页",,,,"洪迎华"
"唐","柳宗元","德宗贞元九年癸酉","793","2",,"21","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"登进士第，知贡举者礼部侍郎顾少连","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第98页",,,,"洪迎华"
"唐","柳宗元","德宗贞元九年癸酉","793","5","17","21","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居长安，父柳镇卒，时年五十七","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第98页",,,,"洪迎华"
"唐","柳宗元","德宗贞元九年癸酉","793","9",,"21","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居长安，葬父于万年县栖凤原","",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第98页",,,,"洪迎华"
"唐","柳宗元","德宗贞元九年癸酉","793",,,"21","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居长安。苑论登第后归觐，作序送之","苑论","《送苑论登第后归觐诗序》","Article","送苑论登第后归觐诗序
八年冬。予与马邑苑言扬联贡于京师。自时而后。车必挂轊。席必交衽。量其志。知其达于昭代。究其文。辨其胜于太常。探而讨之。则明韬于朴厚之质。行浮于休显之闻。游公卿之间。质直而不犯。恪谨而不慑。交同列之群以诚信闻。予拜而兄之。以为执谊而固。临节不夺。在兄而已。是岁小司徒顾公守春官之缺。而权择士之柄。明年春。同趋权衡之下。并就重轻之试。观其掉鞅于术艺之场。游刃乎文翰之林。风雨生于笔札。云霞发于简牍。左右圜视。朋侪拱手。甚可壮也。二月丙子。有司题甲乙之科。揭于南宫。予与兄又联登焉。予不厚颜怀愧而陪其游久矣。夏四月。告归荆衡。拜手行迈。轮移都门之辙。辕指秦岭之路。方将高堂称庆。里闬更贺。曳裾峨冠。荣南诸侯之邦。遐登王粲之楼。高视刘表之榻。桂枝片玉。光生于家。是宜砥商雒之阻艰。带江汉之浩荡。以谈笑顾盼。超越千里。而无倦极也。然而景炽气燠。往即南方。乘陵炎云。呼吸温风。可无敬乎。慎进药石。保安其躬。是亦非兄之所宜私也。群公追饯于霸陵。列筵而觞。送远之赋。圭璋交映。或授首简于予曰。子得非知言扬者乎。安得而默耶。予受而书之。编于群玉之右。非不知让。贵传信焉尔。","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第98页","《柳宗元集》卷22第599页，中华书局1979年版",,,"洪迎华"
"唐","柳宗元","德宗贞元十年甲戌","794",,,"22","","京畿道","邠州","新平",,"陕西","咸阳市","彬县","108.087623","35.041503",,"守父丧。时叔父柳缜在邠宁庆节度府度支判官任，宗元前往邠州省侍。其间游边，访问老校退卒，得知段秀实事迹","柳缜",,"","","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期98-99",,"亦参吴文治《柳宗元大辞典》后附《柳宗元年表》",,"洪迎华"
"唐","柳宗元","德宗贞元十一年乙亥","795",,,"23","","京畿道","邠州","新平",,"陕西","咸阳市","彬县","108.087623","35.041503",,"居邠州，王纬、王纾、王绍兄弟慕名自南徐执文来会，宗元为序","王纬，王纾，王绍","《王氏伯仲唱和诗序》","Article","王氏伯仲唱和诗序
仆闻之。世其家业不陨者。虽古犹乏也。求之于今。而有获焉。王氏子某。与予通家。代为文儒。自先天以来。策名闻达。秉毫翰而践文昌登禁掖者。纷纶华耀。继武而起。士大夫掉鞅于文囿者。咸不得攀而伦之。乙亥岁。某自南徐来。执文贶予。词有远致。又著论非班超不能读父兄之书。而乃徼狂疾之功以为名。吾知其奉儒素之道专矣。间以兄弟嗣来京师。会于旧里。若璩玚在魏。机云入洛。由是正声迭奏。雅引更和。播埙篪之音韵。调律吕之气候。穆然清风。发在简素。非文章之冑。曷能及兹。况宗兄握炳然之文。以赞关石。廌冠银章。荣映江湖。则向时之美谈。必复其始。某也谓予传卜氏之学。宜叙于首章。操斧于班郢之门。斯强颜耳。诗凡若干首。","施子愉《柳宗元年谱》，《武汉大学学报》1957年第1期第99页","《柳宗元集》卷21第583页，中华书局1979年版","吴文治《柳宗元大辞典》附录《柳宗元年表》认为柳宗元时居长安，守父丧，《王氏伯仲唱和诗序》亦作于长安",,"洪迎华"
