朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","温庭筠","德宗贞元十七年辛巳","801",,,"1","","江南东道","苏州",,"松江","江苏省","苏州市",,"120.589613","31.304566",,"是年庭筠生于吴中，姑系于苏州","",,"","","刘学锴《温庭筠全集校注》中华书局2007年版，第1311页","据本书温庭筠生于松江附近或太湖之滨，由太湖所属苏州，故具体地点暂定于苏州",,,"杨洁"
"唐","温庭筠","德宗贞元十八年壬午","802",,,"2","","江南东道","苏州",,"松江","江苏省","苏州市",,"120.589613","31.304566",,"是年在吴中","",,"","","刘学锴《温庭筠全集校注》中华书局2007年版，第1321页",,,,"杨洁"
"唐","温庭筠","德宗贞元十九年癸未","803",,,"3","","江南东道","苏州",,"松江","江苏省","苏州市",,"120.589613","31.304566",,"是年在吴中","",,"","","刘学锴《温庭筠全集校注》中华书局2007年版，第1321页",,,,"杨洁"
"唐","温庭筠","德宗贞元二十年甲申","804",,,"4","","江南东道","苏州",,"松江","江苏省","苏州市",,"120.589613","31.304566",,"是年在吴中","",,"","","刘学锴《温庭筠全集校注》中华书局2007年版，第1321页",,,,"杨洁"
"唐","温庭筠","德宗贞元二十一年;顺宗永贞元年乙酉","805",,,"5","","江南东道","苏州",,"松江","江苏省","苏州市",,"120.589613","31.304566",,"是年在吴中","",,"","","刘学锴《温庭筠全集校注》中华书局2007年版，第1321页",,,,"杨洁"
"唐","温庭筠","宪宗元和元年丙戌","806",,,"6","","江南东道","苏州",,"松江","江苏省","苏州市",,"120.589613","31.304566",,"是年在吴中","",,"","","刘学锴《温庭筠全集校注》中华书局2007年版，第1321页",,,,"杨洁"
"唐","温庭筠","宪宗元和二年丁亥","807",,,"7","","江南东道","苏州",,"松江","江苏省","苏州市",,"120.589613","31.304566",,"是年在吴中","",,"","","刘学锴《温庭筠全集校注》中华书局2007年版，第1321页",,,,"杨洁"
"唐","温庭筠","宪宗元和三年戊子","808",,,"8","","江南东道","苏州",,"松江","江苏省","苏州市",,"120.589613","31.304566",,"是年在吴中","",,"","","刘学锴《温庭筠全集校注》中华书局2007年版，第1321页",,,,"杨洁"
"唐","温庭筠","宪宗元和四年己丑","809",,,"9","","江南东道","苏州",,"松江","江苏省","苏州市",,"120.589613","31.304566",,"是年在吴中","",,"","","刘学锴《温庭筠全集校注》中华书局2007年版，第1321页",,,,"杨洁"
"唐","温庭筠","宪宗元和五年庚寅","810",,,"10","","江南东道","苏州",,"松江","江苏省","苏州市",,"120.589613","31.304566",,"是年在吴中","",,"","","刘学锴《温庭筠全集校注》中华书局2007年版，第1321页",,,,"杨洁"
"唐","温庭筠","宪宗元和六年辛卯","811",,,"11","","江南东道","苏州",,"松江","江苏省","苏州市",,"120.589613","31.304566",,"是年在吴中","",,"","","刘学锴《温庭筠全集校注》中华书局2007年版，第1321页",,,,"杨洁"
"唐","温庭筠","宪宗元和七年壬辰","812",,,"12","","江南东道","苏州",,"松江","江苏省","苏州市",,"120.589613","31.304566",,"是年在吴中","",,"","","刘学锴《温庭筠全集校注》中华书局2007年版，第1321页",,,,"杨洁"
"唐","温庭筠","宪宗元和八年癸巳","813",,,"13","","江南东道","苏州",,"松江","江苏省","苏州市",,"120.589613","31.304566",,"是年在吴中","",,"","","刘学锴《温庭筠全集校注》中华书局2007年版，第1321页",,,,"杨洁"
"唐","温庭筠","宪宗元和九年甲午","814",,,"14","","江南东道","苏州",,"松江","江苏省","苏州市",,"120.589613","31.304566",,"是年在吴中","",,"","","刘学锴《温庭筠全集校注》中华书局2007年版，第1321页",,,,"杨洁"
"唐","温庭筠","宪宗元和十年乙未","815",,,"15","","江南东道","苏州",,"松江","江苏省","苏州市",,"120.589613","31.304566",,"是年在吴中","",,"","","刘学锴《温庭筠全集校注》中华书局2007年版，第1322页",,,,"杨洁"
"唐","温庭筠","宪宗元和十一年丙申","816",,,"16","","江南东道","苏州",,"松江","江苏省","苏州市",,"120.589613","31.304566",,"是年在吴中","",,"","","刘学锴《温庭筠全集校注》中华书局2007年版，第1322页",,,,"杨洁"
