朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","牛僧孺","德宗建中元年庚申","780",,,"1","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"牛僧孺生","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第47页",,,,"罗昌繁"
"唐","牛僧孺","德宗建中二年辛酉","781",,,"2","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"疑居京","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第48页",,,,"罗昌繁"
"唐","牛僧孺","德宗建中三年壬戌","782",,,"3","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"疑居京","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第49页",,,,"罗昌繁"
"唐","牛僧孺","德宗建中四年癸亥","783",,,"4","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"疑居京","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第49页",,,,"罗昌繁"
"唐","牛僧孺","德宗兴元元年甲子","784",,,"5","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"疑居京","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第49页",,,,"罗昌繁"
"唐","牛僧孺","德宗贞元元年乙丑","785",,,"6","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"疑居京","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第49页",,,,"罗昌繁"
"唐","牛僧孺","德宗贞元二年丙寅","786",,,"7","",,,,,,,,"0","0",,"牛僧孺父卒，往依外族周氏","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第50页",,,,"罗昌繁"
"唐","牛僧孺","德宗贞元三年丁卯","787",,,"8","",,,,,,,,"0","0",,"依外族周氏","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第50页",,,,"罗昌繁"
"唐","牛僧孺","德宗贞元四年戊辰","788",,,"9","",,,,,,,,"0","0",,"依外族周氏","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第50页",,,,"罗昌繁"
"唐","牛僧孺","德宗贞元五年己巳","789",,,"10","",,,,,,,,"0","0",,"依外族周氏","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第50页",,,,"罗昌繁"
"唐","牛僧孺","德宗贞元六年庚午","790",,,"11","",,,,,,,,"0","0",,"依外族周氏","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第51页",,,,"罗昌繁"
"唐","牛僧孺","德宗贞元七年辛未","791",,,"12","",,,,,,,,"0","0",,"依外族周氏","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第51页",,,,"罗昌繁"
"唐","牛僧孺","德宗贞元八年壬申","792",,,"13","",,,,,,,,"0","0",,"依外族周氏","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第51页",,,,"罗昌繁"
"唐","牛僧孺","德宗贞元九年癸酉","793",,,"14","",,,,,,,,"0","0",,"依外族周氏","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第51页",,,,"罗昌繁"
"唐","牛僧孺","德宗贞元十年甲戌","794",,,"15","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"依外族周氏，本年回到樊川祖居，开始攻读先人遗书","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第52页",,,,"罗昌繁"
"唐","牛僧孺","德宗贞元十一年乙亥","795",,,"16","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居樊川肄习学业","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第54页",,,,"罗昌繁"
"唐","牛僧孺","德宗贞元十二年丙子","796",,,"17","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居樊川肄习学业","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第54页",,,,"罗昌繁"
"唐","牛僧孺","德宗贞元十三年丁丑","797",,,"18","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居樊川肄习学业","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第54页",,,,"罗昌繁"
"唐","牛僧孺","德宗贞元十四年戊寅","798",,,"19","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居樊川肄习学业","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第54页",,,,"罗昌繁"
"唐","牛僧孺","德宗贞元十五年己卯","799",,,"20","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居樊川肄习学业，经过四五年，学业大进，成为京师一带著名青年学者","",,"","","丁鼎《牛僧孺年谱》，辽海出版社1997年版第55页",,,,"罗昌繁"
"唐","牛僧孺","德宗贞元十六年庚辰","800",,,"21","","山南东道","襄州","襄阳",,"湖北","襄阳市",,"112.129089","32.014789",,"开始外出游学，干谒名流。于本年前后赴襄阳拜谒山南东道节度使于頔，不为所礼，怒而去。外出游学、干谒名流过程中，撰写了传奇集《玄怪录》中的部分篇章","于頔","《玄怪录》中的部分篇章","Book","","丁鼎《牛僧孺年谱》，辽海出版社1997年版55-56",,,,"罗昌繁"
