朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","王之涣","武后垂拱四年戊子","688",,,"1","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"是年生于山西新绛","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","武后载初元年己丑/永昌元年","689",,,"2","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"居乡","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","武周天授元年庚寅","690",,,"3","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"居乡","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","武周天授二年辛卯","691",,,"4","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"居乡","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","武周长寿元年壬辰/天授三年/如意元年","692",,,"5","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"居乡","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","武周长寿二年癸巳","693",,,"6","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"居乡","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","武周延载元年甲午/长寿三年","694",,,"7","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"居乡","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","武周天册万岁元年乙未/证圣元年","695",,,"8","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"居乡","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","武周万岁通天元年丙申/万岁登封元年","696",,,"9","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"居乡","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","武周神功元年丁酉/万岁通天二年","697",,,"10","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"约居乡，姑系于此","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","武周圣历元年戊戌","698",,,"11","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"约居乡，姑系于此","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","武周圣历二年己亥","699",,,"12","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"约居乡，姑系于此","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","武周久视元年庚子/圣历三年","700",,,"13","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"约居乡，姑系于此","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","武周长安元年辛丑/大足元年","701",,,"14","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"约居乡，姑系于此","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","武周长安二年壬寅","702",,,"15","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"约居乡，姑系于此","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","武周长安三年癸卯","703",,,"16","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"约居乡，姑系于此","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","武周长安四年甲辰","704",,,"17","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"约居乡，姑系于此","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","中宗神龙元年乙巳","705",,,"18","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"约居乡，姑系于此","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","中宗神龙二年丙午","706",,,"19","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"约居乡，姑系于此","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","中宗景龙元年丁未/神龙三年","707",,,"20","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"约居乡，姑系于此","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","中宗景龙二年戊申","708",,,"21","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"约居乡，姑系于此","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","中宗景龙三年己酉","709",,,"22","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"约居乡，姑系于此","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","睿宗景云元年庚戌/中宗景龙四年","710",,,"23","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"约居乡，姑系于此","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","睿宗景云二年辛亥","711",,,"24","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"约居乡，姑系于此","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","玄宗先天元年壬子/睿宗太极元年/睿宗延和元年/","712",,,"25","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"约居乡，姑系于此","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
"唐","王之涣","玄宗开元元年癸丑/先天二年","713",,,"26","",,,,,"山西","运城市","新绛县","111.231108","35.622446",,"约居乡，姑系于此","",,"","","李希泌《盛唐诗人王之涣家世与事迹考》(《晋阳学刊》1988年第3期)第102页",,,,"姚昌炳"
