朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","王勃","高宗永徽元年庚戍","650",,,"1","","河东道","绛州","龙门",,"山西","运城市","河津市","110.718432","35.602155",,"居于家乡龙门","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第51页",,"王勃生年,尚有647年（谭丕模《中国文学史纲》）、648年（郑振铎《中国文学年表》）与649年（社科院文学研究所编《中国文学史》）等说法",,"黄俊杰"
"唐","王勃","高宗永徽二年辛亥","651",,,"2","","河东道","绛州","龙门",,"山西","运城市","河津市","110.718432","35.602155",,"居于家乡龙门","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第55页",,,,"黄俊杰"
"唐","王勃","高宗永徽三年壬子","652",,,"3","","河东道","绛州","龙门",,"山西","运城市","河津市","110.718432","35.602155",,"居于家乡龙门","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第58页",,,,"黄俊杰"
"唐","王勃","高宗永徽四年癸丑","653",,,"4","","河东道","绛州","龙门",,"山西","运城市","河津市","110.718432","35.602155",,"居于家乡龙门","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第60页",,,,"黄俊杰"
"唐","王勃","高宗永徽五年甲寅","654",,,"5","","河东道","绛州","龙门",,"山西","运城市","河津市","110.718432","35.602155",,"居于家乡龙门","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第61页",,,,"黄俊杰"
"唐","王勃","高宗永徽六年乙卯","655",,,"6","","河东道","绛州","龙门",,"山西","运城市","河津市","110.718432","35.602155",,"居于家乡龙门.六岁即善文辞,构思无滞","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第65页",,,,"黄俊杰"
"唐","王勃","高宗显庆元年丙辰","656",,,"7","","河东道","绛州","龙门",,"山西","运城市","河津市","110.718432","35.602155",,"居于家乡龙门","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第67页",,,,"黄俊杰"
"唐","王勃","高宗显庆二年丁巳","657",,,"8","","河东道","绛州","龙门",,"山西","运城市","河津市","110.718432","35.602155",,"居于家乡龙门","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第68页",,,,"黄俊杰"
"唐","王勃","高宗显庆三年戊午","658",,,"9","","河东道","绛州","龙门",,"山西","运城市","河津市","110.718432","35.602155",,"居于家乡龙门.九岁读颜师古注《汉书》,并作《指瑕》以擿其失","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第71页",,,,"黄俊杰"
"唐","王勃","高宗显庆四年己未","659",,,"10","","河东道","绛州","龙门",,"山西","运城市","河津市","110.718432","35.602155",,"居于家乡龙门.诵读六经","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第73页",,,,"黄俊杰"
"唐","王勃","高宗显庆五年庚申","660",,,"11","","河东道","绛州","龙门",,"山西","运城市","河津市","110.718432","35.602155",,"居于家乡龙门","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第76页",,,,"黄俊杰"
"唐","王勃","高宗龙朔元年、显庆六年辛酉","661",,,"12","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"从医者曹元学.并依其受《周易章句》、《黄帝素问》、《难经》","曹元",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第79页",,,,"黄俊杰"
"唐","王勃","高宗龙朔二年壬戌","662",,,"13","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"从医者曹元学.并对“上官体”表示不满,且受名流薛元超揄扬","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第86页",,,,"黄俊杰"
"唐","王勃","高宗龙朔三年癸亥","663",,,"14","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"春,与曹元别.因反对“上官体”而名满长安","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第89页",,,,"黄俊杰"
