朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","王昌龄","武周圣历元年戊戌","698",,,"1","","京畿道","京兆府","万年","白鹿原","陕西","西安市",,"108.946306","34.347436",,"出生。","",,"","","胡问涛，罗琴校注《王昌龄集编年校注·前言》 成都：巴蜀书社, 2000年1-9","王昌龄的生年，史无记载。闻一多《唐诗大系》推断为此年。籍贯又有河东晋阳(今山西太原)的说法。","王昌龄生于公元7世纪90年代末或8世纪初(武周圣历元年，公元698年前后)，其家乡在京兆府万年县白鹿原滋阳村(今陕西西安东郊)。",,"龚红林"
"唐","王昌龄","武周圣历二年己亥","699",,,"2","","京畿道","京兆府","万年","白鹿原","陕西","西安市",,"108.946306","34.347436",,"家境贫寒，早年曾在灞上“躬耕”","",,"","","胡问涛 罗琴校注《王昌龄集编年校注》巴蜀书社,2000年10月第1版第1页",,,,"龚红林"
"唐","王昌龄","武周久视元年庚子/圣历三年","700",,,"3","","京畿道","京兆府","万年","白鹿原","陕西","西安市",,"108.946306","34.347436",,"家境贫寒，早年曾在灞上“躬耕”","",,"","","胡问涛 罗琴校注《王昌龄集编年校注》巴蜀书社,2000年10月第1版第1页",,,,"龚红林"
"唐","王昌龄","武周长安元年辛丑/大足元年","701",,,"4","","京畿道","京兆府","万年","白鹿原","陕西","西安市",,"108.946306","34.347436",,"家境贫寒，早年曾在灞上“躬耕”","","题灞池二首","","题灞池二首 其一
腰镰欲何之，东园刈秋韭。世事不复论，悲歌和樵叟。
题灞池二首 其二
开门望长川，薄暮见渔者。借问白头翁，垂纶几年也。","胡问涛 罗琴校注《王昌龄集编年校注》巴蜀书社,2000年10月第1版第1页",,,,"龚红林"
"唐","王昌龄","武周长安二年壬寅","702",,,"5","","京畿道","京兆府","万年","白鹿原","陕西","西安市",,"108.946306","34.347436",,"家境贫寒，早年曾在灞上“躬耕”","","独游","","独游
林卧情每閒，独游景常晏。时从灞陵下，垂钓往南涧。手携双鲤鱼，目送千里雁。悟彼飞有适，知此罹忧患。放之清冷泉，因得省疏慢。永怀青岑客，回首白云间。神超物无违，岂系名与宦。","胡问涛，罗琴校注《王昌龄集编年校注·前言》 成都：巴蜀书社, 2000年第2页",,,,"龚红林"
"唐","王昌龄","武周长安三年癸卯","703",,,"6","","京畿道","京兆府","万年","白鹿原","陕西","西安市",,"108.946306","34.347436",,"家境贫寒，早年曾在灞上“躬耕”","",,"","","胡问涛 罗琴校注《王昌龄集编年校注》巴蜀书社,2000年10月第1版第2页",,"王昌龄《郑县宿陶大公馆中赠冯六元二》：“儒有轻王侯，脱略当世务。无何困躬耕，且欲驰永路。”可知诗人家境贫寒，早年曾在灞上“躬耕”。",,"龚红林"
"唐","王昌龄","武周长安四年甲辰","704",,,"7","","京畿道","京兆府","万年","白鹿原","陕西","西安市",,"108.946306","34.347436",,"家境贫寒，早年曾在灞上“躬耕”","",,"","","胡问涛 罗琴校注《王昌龄集编年校注》巴蜀书社,2000年10月第1版第2页",,,,"龚红林"
"唐","王昌龄","中宗神龙元年乙巳","705",,,"8","","京畿道","京兆府","万年","白鹿原","陕西","西安市",,"108.946306","34.347436",,"家境贫寒，早年曾在灞上“躬耕”","",,"","","胡问涛 罗琴校注《王昌龄集编年校注》巴蜀书社,2000年10月第1版第2页",,,,"龚红林"
"唐","王昌龄","中宗神龙二年丙午","706",,,"9","","京畿道","京兆府","万年","白鹿原","陕西","西安市",,"108.946306","34.347436",,"家境贫寒，早年曾在灞上“躬耕”","",,"","","胡问涛 罗琴校注《王昌龄集编年校注》巴蜀书社,2000年10月第1版第2页",,,,"龚红林"
"唐","王昌龄","中宗景龙元年丁未/神龙三年","707",,,"10","","京畿道","京兆府","万年","白鹿原","陕西","西安市",,"108.946306","34.347436",,"家境贫寒，早年曾在灞上“躬耕”","",,"","","胡问涛 罗琴校注《王昌龄集编年校注》巴蜀书社,2000年10月第1版第2页",,,,"龚红林"
"唐","王昌龄","中宗景龙二年戊申","708",,,"11","","京畿道","华州","华阴","华山","陕西","渭南市","华阴市","110.098671","34.57172",,"游历河南、河北。本诗及以下各诗，皆作于此行","","小敷谷龙潭祠作","Poem","小敷谷龙潭祠作
崖谷喷疾流，地中有雷集。百泉势相荡，巨石皆却立。跳波沸峥嵘，深处不可挹。昏为蛟龙怒，清见云雨入。灵怪祟偏祠，废兴自兹邑。沈淫顷多昧，檐宇遂不葺。吾闻被明典，盛德惟世及。生人载山川，血食报原隰。岂伊骇微险，将以循氓揖。奔飞振吕梁，忠信亦我习。波流浸已广，悔吝在所汲。溪水有清源，褰裳靡沾湿。","胡问涛 罗琴校注《王昌龄集编年校注》巴蜀书社,2000年10月第1版,第4页第4页","王昌龄青年时期，也曾像李白那样，  “仗剑去国，辞亲远游”。开元十一年(七二三)之前，他曾游历河南、河北。本诗及以下各诗，皆作于此行",,,"龚红林"
"唐","王昌龄","中宗景龙三年己酉","709",,,"12","","京畿道","华州","华阴","华山","陕西","渭南市","华阴市","110.098671","34.57172",,"游历河南，华山赋诗","","过华阴","Poem","过华阴
云起太华山，云山互明灭。东峰始含景，了了见松雪。羁人感幽栖，窅映转奇绝。欣然忘所疲，永望吟不辍。信宿百馀里，出关玩新月。何意昨来心，遇物遂迁别。人生屡如此，何以肆愉悦。","胡问涛 罗琴校注《王昌龄集编年校注》巴蜀书社,2000年10月第1版,第6页第6页","太华山：即华山，五岳中的中岳，在今华阴县南。",,,"龚红林"
"唐","王昌龄","睿宗景云元年庚戌/中宗景龙四年","710",,,"13","","河南道","汴州","开封",,"河南","开封市",,"114.313904","34.802941",,"游历河南","","大梁途中作","Poem","大梁途中作
怏怏步长道，客行渺无端。郊原欲下雪，天地棱棱寒。当时每酣醉，不觉行路难。今日无酒钱，悽惶向谁叹。","胡问涛 罗琴校注《王昌龄集编年校注》巴蜀书社,2000年10月第1版,第8页第8页",,,,"龚红林"
"唐","王昌龄","睿宗景云二年辛亥","711",,,"14","","河南道","汴州","睢阳","梁园","河南","商丘市",,"115.662798","34.420378",,"游历河南，梁园赋诗","","梁  苑","Poem","梁苑
梁园秋竹古时烟，城外风悲欲暮天。万乘旌旗何处在？平台宾客有谁怜。","胡问涛 罗琴校注《王昌龄集编年校注》巴蜀书社,2000年10月第1版,第9页第9页",,"葛洪《西京杂记》云：‘梁孝王苑中有落猿岩、栖龙岫、雁池、鹤洲、凫岛。诸宫观相连，奇果佳树，瑰禽异兽，靡不毕备。’俗人言梁孝王竹园也。”",,"龚红林"
"唐","王昌龄","玄宗先天元年壬子/睿宗太极元年/睿宗延和元年/","712",,,"15","","河南道","汴州","睢阳",,"河南","商丘市",,"115.662798","34.420378",,"诗人漫游睢阳(今河南商丘南)之后，曾有南下江南之意，但是没有实现：“渺然江南意，惜与中途违。”于是回访嵩山(今河南登封北)，此诗当作于去嵩山途中。","","途中作","Poem","途中作
游人愁岁晏，早起遵王畿。坠叶吹未晓，疏林月微微。惊禽栖不定，寒兽相因依。叹此霜露下，复闻鸿雁飞。渺然江南意，惜与中途违。羁旅悲壮发，别离念征衣。永图岂劳止，明节期所归。宁厌楚山曲，无人长掩扉。","胡问涛 罗琴校注《王昌龄集编年校注》巴蜀书社,2000年10月第1版,第10页第10页",,,,"龚红林"
"唐","王昌龄","玄宗开元元年癸丑/先天二年","713",,,"16","","都畿道","河南府","登封","嵩山少林寺","河南","郑州市","登封市","113.056704","34.459775",,"访道求仙。王昌龄《赵十四兄见谢》：  “晚来常读易，顷者欲还嵩。世事何须道，黄精且养蒙。”可知诗人早年曾访道于嵩山","","谒焦炼师","Poem","谒焦鍊师
中峰青苔壁，一点云生时。岂意石堂里，得逢焦鍊师。炉香净琴案，松影闲瑶墀。拜受长年药，翩翻西海期。","胡问涛 罗琴校注《王昌龄集编年校注》巴蜀书社,2000年10月第1版,第11页第11页",,,,"龚红林"
