朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","王维","武周圣历三年、久视元年庚子","700",,,"1","","河东道","太原府","祁县",,"山西","晋中市","祁县","112.341508","37.363993",,"本年生。","",,"","","张清华《王维年谱》第7页",,,,"张厚知"
"唐","王维","武后长安元年辛丑","701",,,"2","","河东道","太原府","祁县",,"山西","晋中市","祁县","112.341508","37.363993",,"居乡","",,"","","张清华《王维年谱》第13页",,,,"张厚知"
"唐","王维","武后长安二年壬寅","702",,,"3","","河东道","太原府","祁县",,"山西","晋中市","祁县","112.341508","37.363993",,"居乡","",,"","","张清华《王维年谱》第14页",,,,"张厚知"
"唐","王维","武后长安三年癸卯","703",,,"4","","河东道","太原府","祁县",,"山西","晋中市","祁县","112.341508","37.363993",,"居乡","",,"","","张清华《王维年谱》第14页",,,,"张厚知"
"唐","王维","武后长安四年甲辰","704",,,"5","","河东道","太原府","祁县",,"山西","晋中市","祁县","112.341508","37.363993",,"居乡","",,"","","张清华《王维年谱》第14页",,,,"张厚知"
"唐","王维","中宗神龙元年乙巳","705",,,"6","","河东道","太原府","祁县",,"山西","晋中市","祁县","112.341508","37.363993",,"居乡","",,"","","张清华《王维年谱》第15页",,,,"张厚知"
"唐","王维","中宗神龙二年丙午","706",,,"7","","河东道","太原府","祁县",,"山西","晋中市","祁县","112.341508","37.363993",,"居乡","",,"","","张清华《王维年谱》第15页",,,,"张厚知"
"唐","王维","中宗神龙三年、景龙元年丁未","707",,,"8","","河东道","太原府","祁县",,"山西","晋中市","祁县","112.341508","37.363993",,"居乡","",,"","","张清华《王维年谱》第16页",,,,"张厚知"
"唐","王维","中宗景龙二年戊申","708",,,"9","","河东道","太原府","祁县",,"山西","晋中市","祁县","112.341508","37.363993",,"居乡，九岁知属辞","",,"","","张清华《王维年谱》第16页",,,,"张厚知"
"唐","王维","中宗景龙二年戊申","708",,,"9","","河东道","太原府","祁县",,"山西","晋中市","祁县","112.341508","37.363993",,"居乡，丧父","",,"","","张清华《王维年谱》第13页",,,,"张厚知"
"唐","王维","中宗景龙三年己酉","709",,,"10","","河东道","蒲州",,,"山西","运城市","永济市","110.454307","34.872892",,"徙家蒲州","",,"","","张清华《王维年谱》第17页","《旧唐书·王维传》",,,"张厚知"
"唐","王维","中宗景龙四年、睿宗景云元年庚戌","710",,,"11","","河东道","蒲州",,,"山西","运城市","永济市","110.454307","34.872892",,"居蒲州","",,"","","张清华《王维年谱》第17页",,,,"张厚知"
"唐","王维","睿宗景云二年辛亥","711",,,"12","","河东道","蒲州",,,"山西","运城市","永济市","110.454307","34.872892",,"居蒲州","",,"","","张清华《王维年谱》第18页",,,,"张厚知"
"唐","王维","睿宗景云三年、玄宗先天元年壬子","712",,,"13","","河东道","蒲州",,,"山西","运城市","永济市","110.454307","34.872892",,"居蒲州","",,"","","张清华《王维年谱》第18页",,,,"张厚知"
"唐","王维","玄宗先天二年、开元元年癸丑","713",,,"14","","河东道","蒲州",,,"山西","运城市","永济市","110.454307","34.872892",,"居蒲州","",,"","","张清华《王维年谱》第19页",,,,"张厚知"
"唐","王维","玄宗开元二年甲寅","714",,,"15","","京畿道","京兆府",,,"陕西","西安市",,"108.946306","34.347436",,"离家赴长安，经潼关，过骊山","","过始皇墓","Poem","过始皇墓
古墓成苍岭，幽宫象紫台。星辰七曜隔，河汉九泉开。有海人宁渡，无春雁不回。更闻松韵切，疑是大夫哀。","张清华《王维年谱》第20页","始皇墓在骊山（今陕西临潼东南）",,,"张厚知"
"唐","王维","玄宗开元二年甲寅","714",,,"15","","京畿道","京兆府",,,"陕西","西安市",,"108.946306","34.347436",,"离家赴长安，经潼关，过骊山","","题友人云母障子","Poem","题友人云母障子
君家云母障，时向野庭开。自有山泉入，非因采画来。","张清华《王维年谱》第20页",,,,"张厚知"
"唐","王维","玄宗开元三年乙卯","715",,,"16","","京畿道","京兆府",,,"陕西","西安市",,"108.946306","34.347436",,"宦游长安","",,"","","张清华《王维年谱》第21页",,,,"张厚知"
"唐","王维","玄宗开元三年乙卯","715",,,"16","","都畿道","河南府","洛阳",,"河南","洛阳市",,"112.460033","34.624376",,"宦游洛阳","","洛阳女儿行","Poem","洛阳女儿行
洛阳女儿对门居，才可容颜十五馀。良人玉勒乘骢马，侍女金盘鲙鲤鱼。画阁朱楼尽相望，红桃绿柳垂檐向。罗帏送上七香车，宝扇迎归九华帐。狂夫富贵在青春，意气骄奢剧季伦。自怜碧玉亲教舞，不惜珊瑚持与人。春窗曙灭九微火，九微片片飞花璅。戏罢曾无理曲时，妆成秪是薰香坐。城中相识尽繁华，日夜经过赵李家。谁怜越女颜如玉，贫贱江头自浣纱。","张清华《王维年谱》第21页","赵殿成《王右丞集笺注》题下注：“时年十六，一作十八。”",,,"张厚知"
"唐","王维","玄宗开元四年丙辰","716","9","9","17","","京畿道","京兆府",,,"陕西","西安市",,"108.946306","34.347436",,"宦游长安","","九月九日忆山东兄弟","Poem","九月九日忆山东兄弟
独在异乡为异客，每逢佳节倍思亲。遥知兄弟登高处，遍插茱萸少一人。","张清华《王维年谱》第22页",,,,"张厚知"
"唐","王维","玄宗开元四年丙辰","716",,,"17","","京畿道","京兆府",,,"陕西","西安市",,"108.946306","34.347436",,"在长安，与祖自虚或同居终南山，或东游洛阳金谷园等","",,"","","张清华《王维年谱》第22页",,,,"张厚知"
"唐","王维","玄宗开元五年丁巳","717",,,"18","","京畿道","京兆府",,,"陕西","西安市",,"108.946306","34.347436",,"祖自虚去世，作诗哭之","祖自虚","哭祖六自虚","Poem","哭祖六自虚
否极尝闻泰，嗟君独不然。悯凶才稚齿，羸疾主中年。馀力文章秀，生知礼乐全。翰留天帐览，词入帝宫传。国讶终军少，人知贾谊贤。公卿尽虚左，朋识共推先。不恨依穷辙，终期济巨川。才雄望羔雁，寿促背貂蝉。福善闻前录，歼良昧上玄。何辜铩鸾翮，底事碎龙泉。鵩起长沙赋，麟终曲阜编。域中君道广，海内我情偏。乍失疑犹见，沈思悟绝缘。生前不忍别，死后向谁宣。为此情难尽，弥令忆更缠。本家清渭曲，归葬旧茔边。永去长安道，徒闻京兆阡。旌车出郊甸，乡国隐云天。定作无期别，宁同旧日旋。候门家属苦，行路国人怜。送客哀难进，征途泥复前。赠言为挽曲，奠席是离筵。念昔同携手，风期不暂捐。南山俱隐逸，东洛类神仙。未省音容间，那堪生死迁。花时金谷饮，月夜竹林眠。满地传都赋，倾朝看药船。群公咸属目，微物敢齐肩。谬合同人旨，而将玉树连。不期先挂剑，长恐后施鞭。为善吾无矣，知音子绝焉。琴声纵不没，终亦继悲弦。","张清华《王维年谱》第23页",,,,"张厚知"
"唐","王维","玄宗开元五年丁巳","717",,,"18","","都畿道","河南府","洛阳",,"河南","洛阳市",,"112.460033","34.624376",,"居长安，时玄宗幸洛阳，东游洛阳投谒进取","",,"","","张清华《王维年谱》第23页",,,,"张厚知"
"唐","王维","玄宗开元六年戊午","718",,,"19","","京畿道","京兆府",,,"陕西","西安市",,"108.946306","34.347436",,"赴京兆试","","桃源行","Poem","桃源行
渔舟逐水爱山春，两岸桃花夹去津。坐看红树不知远，行尽青溪不见人。山口潜行始隈隩，山开旷望旋平陆。遥看一处攒云树，近入千家散花竹。樵客初传汉姓名，居人未改秦衣服。居人共住武陵源，还从物外起田园。月明松下房栊静，日出云中鸡犬喧。惊闻俗客争来集，竞引还家问都邑。平明闾巷埽花开，薄暮渔樵乘水入。初因避地去人间，及至成仙遂不还。峡里谁知有人事，世中遥望空云山。不疑灵境难闻见，尘心未尽思乡县。出洞无论隔山水，辞家终拟长游衍。自谓经过旧不迷，安知峰壑今来变。当时只记入山深，青溪几曲到云林。春来遍是桃花水，不辨仙源何处寻。","张清华《王维年谱》第24页",,,,"张厚知"
"唐","王维","玄宗开元六年戊午","718",,,"19","","京畿道","京兆府",,,"陕西","西安市",,"108.946306","34.347436",,"赴京兆试","","李陵咏","Poem","李陵咏
汉家李将军，三代将门子。结发有奇策，少年成壮士。长驱塞上儿，深入单于垒。旌旗列相向，箫鼓悲何已。日暮沙漠陲，战声烟尘里。将令骄虏灭，岂独名王侍。既失大军援，遂婴穹庐耻。少小蒙汉恩，何堪坐思此。深衷欲有报，投躯未能死。引领望子卿，非君谁相理。","张清华《王维年谱》第24页",,,,"张厚知"
"唐","王维","玄宗开元六年戊午","718",,,"19","","京畿道","京兆府",,,"陕西","西安市",,"108.946306","34.347436",,"赴京兆试，试题“清如玉壶冰”，举解头，有诗","","赋得清如玉壶冰","Poem","清如玉壶冰
玉壶何用好，偏许素冰居。未共销丹日，还同照绮疏。抱明中不隐，含净外疑虚。气似庭霜积，光言砌月馀。晓凌飞鹊镜，宵映聚萤书。若向夫君比，清心尚不如。","张清华《王维年谱》第24页",,,,"张厚知"
"唐","王维","玄宗开元七年己未","719",,,"20","","京畿道","京兆府",,,"陕西","西安市",,"108.946306","34.347436",,"与弟王缙从岐王李范、宁王李宪、薛王李业等游宴，有诗","李宪，李业","从岐王过杨氏别业应教","Poem","从岐王过杨氏别业应教
杨子谈经所，淮王载酒过。兴阑啼鸟换，坐久落花多。径转回银烛，林开散玉珂。严城时未启，前路拥笙歌。","张清华《王维年谱》第25页",,,,"张厚知"
"唐","王维","玄宗开元七年己未","719",,,"20","","京畿道","京兆府",,,"陕西","西安市",,"108.946306","34.347436",,"与弟王缙从岐王李范、宁王李宪、薛王李业等游宴，有诗","李宪，李业","从岐王夜宴卫家山池应教","Poem","从岐王夜宴卫家山池应教
座客香貂满，宫娃绮幔张。涧花轻粉色，山月少灯光。积翠纱窗暗，飞泉绣户凉。还将歌舞出，归路莫愁长。","张清华《王维年谱》第25页",,,,"张厚知"
"唐","王维","玄宗开元七年己未","719",,,"20","","京畿道","京兆府",,,"陕西","西安市",,"108.946306","34.347436",,"与弟王缙从岐王李范、宁王李宪、薛王李业等游宴，有诗","李宪，李业","敕借岐王九成宫避暑应教","","敕借岐王九成宫避暑应教
帝子远辞丹凤阙，天书遥借翠微宫。隔窗云雾生衣上，卷幔山泉入镜中。林下水声喧语笑，岩间树色隐房栊。仙家未必能胜此，何事吹笙向碧空。","张清华《王维年谱》第25页",,,,"张厚知"
"唐","王维","玄宗开元七年己未","719",,,"20","","京畿道","京兆府",,,"陕西","西安市",,"108.946306","34.347436",,"与弟王缙从岐王李范、宁王李宪、薛王李业等游宴，有诗","李宪，李业","息夫人","Poem","息夫人
莫以今时宠，能忘旧日恩。看花满眼泪，不共楚王言。","张清华《王维年谱》第27页",,,,"张厚知"
