朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","皮日休","文宗大和八年甲寅","834",,,"1","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"约生于本年。皮日休生年难确考。本表所标年岁为虚拟数，非实数","",,"","","李福标《皮陆年谱》第64页",,,,"王秀林"
"唐","皮日休","文宗大和九年乙卯","835",,,"2","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"居乡","",,"","","李福标《皮陆年谱》第69页",,,,"王秀林"
"唐","皮日休","文宗开成元年丙辰","836",,,"3","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"居乡","",,"","","李福标《皮陆年谱》第70页",,,,"王秀林"
"唐","皮日休","文宗开成二年丁巳","837",,,"4","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"居乡","",,"","","李福标《皮陆年谱》第70页",,,,"王秀林"
"唐","皮日休","文宗开成三年戊午","838",,,"5","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"居乡","",,"","","李福标《皮陆年谱》第71页",,,,"王秀林"
"唐","皮日休","文宗开成四年己未","839",,,"6","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"居乡","",,"","","李福标《皮陆年谱》第72页",,,,"王秀林"
"唐","皮日休","文宗开成五年庚申","840",,,"7","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"居乡","",,"","","李福标《皮陆年谱》第73页",,,,"王秀林"
"唐","皮日休","武宗会昌元年辛酉","841",,,"8","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"居乡","",,"","","李福标《皮陆年谱》第73页","皮日休殆于是年就学发蒙，有陈俎豆之戏",,,"王秀林"
"唐","皮日休","武宗会昌二年壬戌","842",,,"9","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"居乡","",,"","","李福标《皮陆年谱》第75页",,,,"王秀林"
"唐","皮日休","武宗会昌三年癸亥","843",,,"10","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"居乡","",,"","","李福标《皮陆年谱》第75页",,,,"王秀林"
"唐","皮日休","武宗会昌四年甲子","844",,,"11","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"居乡","",,"","","李福标《皮陆年谱》第76页",,,,"王秀林"
"唐","皮日休","武宗会昌五年乙丑","845",,,"12","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"居乡","",,"","","李福标《皮陆年谱》第76页",,,,"王秀林"
"唐","皮日休","武宗会昌六年丙寅","846",,,"13","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"居乡","",,"","","李福标《皮陆年谱》第76页",,,,"王秀林"
"唐","皮日休","宣宗大中元年丁卯","847",,,"14","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"居乡","",,"","","李福标《皮陆年谱》第77页",,,,"王秀林"
"唐","皮日休","宣宗大中二年戊辰","848",,,"15","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"居乡","",,"","","李福标《皮陆年谱》第77页",,,,"王秀林"
"唐","皮日休","宣宗大宗三年己巳","849",,,"16","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"居乡","",,"","","李福标《皮陆年谱》第78页",,,,"王秀林"
"唐","皮日休","宣宗大中四年庚午","850",,,"17","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"居乡","",,"","","李福标《皮陆年谱》第78页",,,,"王秀林"
"唐","皮日休","宣宗大中五年辛未","851",,,"18","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"居乡","",,"","","李福标《皮陆年谱》第78页",,,,"王秀林"
"唐","皮日休","宣宗大中六年壬申","852",,,"19","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711",,"居乡","",,"","","李福标《皮陆年谱》第78页",,,,"王秀林"
"唐","皮日休","宣宗大中七年癸酉","853",,,"20","","山南东道","襄州",,"鹿门山","湖北","襄阳市",,"112.129089","32.014789","","襄阳隐读","",,"","","李福标《皮陆年谱》第79页",,,,"王秀林"
"唐","皮日休","宣宗大中八年甲戌","854",,,"21","","山南东道","襄州",,"鹿门山","湖北","襄阳市",,"112.129089","32.014789","","襄阳隐读","","","","","李福标《皮陆年谱》第83页",,,,"王秀林"
"唐","皮日休","宣宗大中九年乙亥","855",,,"22","","山南东道","襄州",,"鹿门山","湖北","襄阳市",,"112.129089","32.014789","","襄阳隐读","",,"","","李福标《皮陆年谱》第85页",,,,"王秀林"
"唐","皮日休","宣宗大中十年丙子","856",,,"23","","山南东道","襄州",,"鹿门山","湖北","襄阳市",,"112.129089","32.014789","","襄阳隐读","",,"","","李福标《皮陆年谱》第86页",,,,"王秀林"
"唐","皮日休","宣宗大中十一年丁丑","857",,,"24","","山南东道","襄州",,,"湖北","襄阳市",,"112.129089","32.014789","","皮日休或参加乡贡室，成绩优等，获选","",,"","","李福标《皮陆年谱》第89页",,,,"王秀林"
"唐","皮日休","宣宗大中十一年丁丑","857",,,"24","","都畿道","河南府","洛阳",,"河南","洛阳市",,"112.460033","34.624376",,"冬十月，或赴洛阳集试","",,"","","李福标《皮陆年谱》第89页",,,,"王秀林"
"唐","皮日休","宣宗大中十二年戊寅","858",,,"25","","山南东道","襄州",,,"湖北","襄阳市",,"112.129089","32.014789","入幕","入徐商襄州幕，皮日休或因“试艺精专”而为徐商所赏，招其入幕","",,"","","李福标《皮陆年谱》第92页",,,,"王秀林"
"唐","皮日休","宣宗大中十三年己卯","859",,,"26","","山南东道","襄州",,,"湖北","襄阳市",,"112.129089","32.014789","入幕","入徐商襄州幕，其与汉上酬唱文人或许有龃龉","汉上酬唱文人","酒箴","Article","酒箴
酒之所乐，乐其全真。宁能我醉，不醉于人。","李福标《皮陆年谱》第95页",,,,"王秀林"
"唐","皮日休","宣宗大中十三年己卯","859",,,"26","","山南东道","襄州",,,"湖北","襄阳市",,"112.129089","32.014789","入幕","入徐商襄州幕，三月中下旬，皮日休有《襄州春游》诗","","襄州春游","Poem","襄州春游
信马腾腾触处行，春风相引与诗情。等闲遇事成歌咏，取次冲筵隐姓名。映柳认人多错误，透花窥鸟最分明。岑牟单绞何曾著，莫道猖狂似祢衡。","李福标《皮陆年谱》第96页",,,,"王秀林"
"唐","皮日休","宣宗大中十三年己卯","859",,,"26","","山南东道","襄州",,,"湖北","襄阳市",,"112.129089","32.014789","入幕","入徐商襄州幕，应邑人刘永之邀，作《刘枣强碑》","刘永","刘枣强碑","Article","刘枣强碑
歌诗之风。荡来久矣。大抵丧于南朝。坏于陈叔宝。然今之业是者。苟不能求古于建安。即江左矣。苟不能求丽于江左。即南朝矣。或过为艳伤丽病者。即南朝之罪人也。吾唐来有是业者。言出天地外。思出鬼神表。读之则神驰八极。测之则心怀四溟。磊磊落落。直非世间语者。有李太白。百岁有是业者。彫金篆玉。牢奇笼怪。百锻为字。千练成句。虽不追躅太白。亦后来之佳作也。有与李贺同时。有刘枣强焉。先生姓刘氏名言。史不详其乡里。所有歌诗千首。其美丽恢赡。自贺外世莫得比。王武俊之节制镇冀也。先生造之。武俊性雄健。颇好词艺。一见先生。遂见异敬。将署之宾位。先生辞免。武俊善骑射。载先生以贰乘。逞其艺如野。武俊先骑惊双鸭起于蒲稗间。武俊控弦不再发。双鸭联毙于地。武俊欢甚。命先生曰。某之伎如是。先生之词如是。可谓文武之会矣。何不出一言以赞邪。先生由是马上草射鸭歌以示武俊。议者以为祢正平鹦鹉赋之类也。武俊益重先生。由是奏请官先生。诏授枣强县令。先生辞疾不就。世重之曰刘枣强。亦如范莱芜之类焉。故相国陇西公夷简之节度汉南也。少与先生游。且思相见。命列将以襄之髹器千事赂武俊。以请先生。武俊许之。先生由是为汉南相府宾冠。陇西公日与之为笔宴。其献酬之歌诗。大播于当时。陇西公从事或曰。以某下走之才。诚不足污辱重地。刘枣强至重。必以公宾刘于幕吏之上。何抑之如是。公曰。愚非惜幕间一足地不容刘也。然视其状有不足称者。诸公视某与刘分岂有间然哉。反为之惜其寿尔。后不得已问先生所欲为。先生曰。司功椽甚閒。或可承阙。相国由是椽之。虽居官曹。宴见与从事仪埒。后从事又曰。刘枣强纵不容在宾署。承乏于掾曹。诎矣。奚不疏整其秩。相国不得已而表奏焉。诏下之日。先生不恙而卒。相国哀之恸曰。果然止椽曹。然吾爱客。葬之有加等。坟去襄阳郭五里。曰柳子关。后先生数十岁。日休始以鄙文称于襄阳。襄阳邑人刘永。高士也。尝述先生之道业。常咏先生之歌诗。且叹曰。襄之人只知有孟浩然墓。不知有先生墓。恐百岁之后。埋灭而不闻。与荆棘凡骨溷。吾子之文。吾当刊焉。日休曰。存既摭实。录之何愧。呜呼。先生之官卑不称其德。宜加私谥。然枣强之号。世已美矣。故不加焉。是为刘枣强碑。铭曰。巳夫先生。禄不厚矣。彼苍不诚。位既过于赵壹兮。才又逾于祢衡。既当时之有道兮。非殁世而无名。呜呼。襄阳之西。坟高三尺而不树者。其先生之故茔。","李福标《皮陆年谱》第97页",,,,"王秀林"
"唐","皮日休","懿宗咸通元年、宣宗大中十四年庚辰","860",,,"27","","山南东道","襄州",,,"湖北","襄阳市",,"112.129089","32.014789",,"襄阳隐读，与史拱山人游","史拱山人","史处士","Poem","史处士
山期须早赴，世累莫迟留。忽遇狂风起，闲心不自由。","李福标《皮陆年谱》第99页",,,,"王秀林"
"唐","皮日休","懿宗咸通元年、宣宗大中十四年庚辰","860",,,"27","","山南东道","襄州",,,"湖北","襄阳市",,"112.129089","32.014789",,"襄阳隐读，与从弟皮崇相聚，皮日休有诗相送","从弟皮崇","送从弟归复州","Poem","送从弟皮崇归复州
羡尔优游正少年，竟陵烟月似吴天。车螯近岸无妨取，舴艋随风不费牵。处处路傍千顷稻，家家门外一渠莲。慇勤莫笑襄阳住，为爱南溪缩项鳊。","李福标《皮陆年谱》第102页",,,,"王秀林"
"唐","皮日休","懿宗咸通元年、宣宗大中十四年庚辰","860",,,"27","","山南东道","襄州",,,"湖北","襄阳市",,"112.129089","32.014789",,"襄阳隐读，邓州刺史某闻皮日休之名，礼聘之，不应，并作《食箴》","邓州刺史","食箴","Article","食箴
膏梁之门。日纵异嗜。年成奇欲。未必不为御者之奔华元也。子家之伐灵公也。晋灵之杀宰夫也。卢蒲癸之杀庆舍也。此犹之禽兽欲争食而死者矣。故食于天子者则死其天下。食于诸侯者则死其国。食于大夫者则死其邑。食于士者则死其家。又焉能以乡里亲戚州鄙为让乎。大夫曰善。自惟食之性不能自节。亦犹酒之性也。复箴以自符。箴曰。宁能我食。不食于人。复食于人。是食其身。","李福标《皮陆年谱》第102页",,,,"王秀林"
"唐","皮日休","懿宗咸通元年、宣宗大中十四年庚辰","860",,,"27","","山南东道","襄州",,,"湖北","襄阳市",,"112.129089","32.014789",,"襄阳隐读，《六箴》或作于此时","","六箴","Article","","李福标《皮陆年谱》第103页",,,,"王秀林"
"唐","皮日休","懿宗咸通元年、宣宗大中十四年庚辰","860",,,"27","","山南东道","襄州",,,"湖北","襄阳市",,"112.129089","32.014789",,"襄阳隐读，《七爱》或作于此时","","七爱","Article","","李福标《皮陆年谱》第103页",,,,"王秀林"
"唐","皮日休","懿宗咸通元年、宣宗大中十四年庚辰","860",,,"27","","山南东道","襄州",,,"湖北","襄阳市",,"112.129089","32.014789",,"襄阳隐读，《鹿门隐书》或作于此时","","鹿门隐书","Article","","李福标《皮陆年谱》第103页",,,,"王秀林"
"唐","皮日休","懿宗咸通二年辛巳","861",,,"28","","山南东道","襄州",,,"湖北","襄阳市",,"112.129089","32.014789","入幕","秋初，江西观察使裴寅任满回京，路出襄阳，皮日休干谒之，并陪襄州延庆寺，献诗","裴寅","陪江西裴公游襄州延庆寺","Poem","陪江西裴公游襄州延庆寺
丹霄路上歇征轮，胜地偷闲一日身。不署前驱惊野鸟，唯将后乘载诗人。岩边候吏云遮却，竹下朝衣露滴新。更向碧山深处问，不妨犹有草茅臣。","李福标《皮陆年谱》第110页",,,,"王秀林"
"唐","皮日休","懿宗咸通二年辛巳","861",,,"28","","山南东道","复州","竟陵",,"湖北","湖北省直辖县级行政区划","天门市","113.172549","30.669711","入幕","离别襄阳，回复州竟陵","",,"","","李福标《皮陆年谱》第113页",,,,"王秀林"
