朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","陆龟蒙","文宗大和四年庚戌","830",,,"1","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566",,"或生于本年。本表所列年岁为虚拟数，非实数。","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第57页",,,,"王秀林"
"唐","陆龟蒙","文宗大和五年辛亥","831",,,"2","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566",,"在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第62页",,,,"王秀林"
"唐","陆龟蒙","文宗大和六年壬子","832",,,"3","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566",,"在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第62页",,,,"王秀林"
"唐","陆龟蒙","文宗大和七年癸丑","833",,,"4","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566",,"在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第62页",,,,"王秀林"
"唐","陆龟蒙","文宗大和八年甲寅","834",,,"5","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566",,"在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第64页",,,,"王秀林"
"唐","陆龟蒙","文宗大和九年乙卯","835",,,"6","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566",,"在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第69页",,,,"王秀林"
"唐","陆龟蒙","文宗开成元年丙辰","836",,,"7","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566",,"在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第70页",,,,"王秀林"
"唐","陆龟蒙","文宗开成二年丁巳","837",,,"8","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566",,"在故乡长洲家居陆龟蒙父陆宾虞在校书郎任","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第71页",,,,"王秀林"
"唐","陆龟蒙","文宗开成三年戊午","838",,,"9","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566",,"在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第71页",,,,"王秀林"
"唐","陆龟蒙","文宗开成四年己未","839",,,"10","","江南西道","宣州","潥阳",,"江苏","常州市","溧阳市","119.491108","31.421755",,"陆龟蒙大概随父在潥阳，闻孟郊故事于白头书佐","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第72页",,,,"王秀林"
"唐","陆龟蒙","文宗开成五年庚申","840",,,"11","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566",,"在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第73页",,,,"王秀林"
"唐","陆龟蒙","武宗会昌元年辛酉","841",,,"12","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566",,"在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第73页",,,,"王秀林"
"唐","陆龟蒙","武宗会昌二年壬戌","842",,,"13","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566",,"在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第75页",,,,"王秀林"
"唐","陆龟蒙","武宗会昌三年癸亥","843",,,"14","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566",,"在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第75页",,,,"王秀林"
"唐","陆龟蒙","武宗会昌四年甲子","844",,,"15","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566",,"在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第76页",,,,"王秀林"
"唐","陆龟蒙","武宗会昌五年乙丑","845",,,"16","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566",,"在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第76页",,,,"王秀林"
"唐","陆龟蒙","武宗会昌六年丙寅","846",,,"17","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566",,"在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第76页",,,,"王秀林"
"唐","陆龟蒙","宣宗大中元年丁卯","847",,,"18","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566",,"在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第77页",,,,"王秀林"
"唐","陆龟蒙","宣宗大中二年戊辰","848",,,"19","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566",,"在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第77页",,,,"王秀林"
"唐","陆龟蒙","宣宗大中三年己巳","849",,,"20","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566","","在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第78页",,,,"王秀林"
"唐","陆龟蒙","宣宗大中四年庚午","850",,,"21","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566","","在故乡长洲家居","","","","","李福标《皮陆年谱》，中山大学出版社2011年版。第78页",,,,"王秀林"
"唐","陆龟蒙","宣宗大中五年辛未","851",,,"22","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566","","在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第78页",,,,"王秀林"
"唐","陆龟蒙","宣宗大中六年壬申","852",,,"23","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566","","在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第78页",,,,"王秀林"
"唐","陆龟蒙","宣宗大中七年癸酉","853",,,"24","","江南东道","苏州","长洲",,"江苏","苏州市",,"120.589613","31.304566","","在故乡长洲家居","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第79页",,,,"王秀林"
"唐","陆龟蒙","宣宗大中八年甲戌","854",,,"25","","江南西道","宣州","宣城",,"安徽","宣城市",,"118.765196","30.946576","","或于是年前后从豆庐瑑游宣城","豆庐瑑",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第83页",,,,"王秀林"
"唐","陆龟蒙","宣宗大中八年甲戌","854",,,"25","","江南东道","润州",,,"江苏","镇江市",,"119.431494","32.195688",,"本年或自润州取解，第一次赴京应举","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第84页",,,,"王秀林"
"唐","陆龟蒙","宣宗大中九年乙亥","855",,,"26","","都畿道","河南府","洛阳",,"河南","洛阳市",,"112.460033","34.624376",,"或参加科举考试不利，流连于两京地区隐居读书","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第85页",,,,"王秀林"
"唐","陆龟蒙","宣宗大中九年乙亥","856",,,"27","","都畿道","河南府","登封","嵩山","河南","郑州市","登封市","113.056704","34.459775",,"或参加科举考试不利，流连于两京地区隐居读书","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第85页",,,,"王秀林"
"唐","陆龟蒙","宣宗大中十年丙子","856",,,"27","","都畿道",,,,,,,"0","0",,"在两京地区隐居读书","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第88页",,,,"王秀林"
"唐","陆龟蒙","宣宗大中十一年丁丑","857",,,"28","","都畿道",,,,,,,"0","0",,"在两京地区隐居读书","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第91页",,,,"王秀林"
"唐","陆龟蒙","宣宗大中十二年戊寅","858",,,"29","","都畿道",,,,,,,"0","0",,"在两京地区隐居读书","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第92页",,,,"王秀林"
"唐","陆龟蒙","宣宗大中十三年己卯","859",,,"30","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"参加科考，不第","","","","","李福标《皮陆年谱》，中山大学出版社2011年版。第97页",,,,"王秀林"
"唐","陆龟蒙","宣宗大中十三年己卯","859","2",,"30","","都畿道","河南府","洛阳",,"河南","洛阳市",,"112.460033","34.624376",,"春二月，落第后由长安东返，先是在洛阳嵩山停留，梦游甘露寺","",,"","","李福标《皮陆年谱》，中山大学出版社2011年版。第98页",,,,"王秀林"
"唐","陆龟蒙","宣宗大中十三年己卯","859",,,"30","","江南东道","润州",,,"江苏","镇江市",,"119.431494","32.195688",,"春末夏初，到达润州，游甘露寺，有诗","","《纪梦游甘露寺》","Poem","纪梦游甘露寺
昔卧嵩高云，云窗正寒夕。披裘忽生梦，似到空王宅。峨天一峰立，栏楯横半壁。级倚绿巅差，关临赤霄辟。扪虚陟孤峭，不翅千馀尺。叠掌望罘罳，分明袒肩释。凌香稽首罢，嘹哓□□□。高户乘北风，声号大波白。光中目难送，定验方可觌。树细鸿濛烟，岛疏零落碧。须臾群籁入，空水相喷激。积浪亚寒堆，呀如斗危石。跳音簇鞞鼓，溅沫交矛戟。鸟疾帆亦奔，纷纷助劲敌。思非水灵怒，即是饥龙擘。怯慑不敢前，荷襟汗沾霢。回经定僧处，泉木光相射。岩磴云族栖，柖柯露华适。逍遥得真趋，逦迤寻常迹。山腹贮孤亭，岚根四垂帟。谁题雪月句，乃是曹刘格。阆阙一枝琼，边楼数声笛。吟高矍然起，若自苍旻掷。短烛堕馀花，圆蟾挂斜魄。自从神锡境，无处不登陟。忽上南徐山，心期豁而获。岂伊烦恼骨，合到清凉域。暗得胡蝶身，幽期尽相识。奈何有名氏，未列金闺籍。翻惭丱顶童，得奉真如策。云涛触风望，毫管和烟搦。聊记梦中游，留之问禅客。","李福标《皮陆年谱》，中山大学出版社2011年版。第99页","《甫里集》卷四",,,"王秀林"
"唐","陆龟蒙","宣宗大中十三年己卯","859",,,"30","","江南东道","润州",,,"江苏","镇江市",,"119.431494","32.195688",,"秋，陆龟蒙仍在润州","","《归路》","Poem","归路
渐入新丰路，衰红映小桥。浑如七年病，初得一丸销。","李福标《皮陆年谱》，中山大学出版社2011年版。第100页","《甫里集》卷七",,,"王秀林"
"唐","陆龟蒙","宣宗大中十三年己卯","859",,,"30","","江南东道","润州",,,"江苏","镇江市",,"119.431494","32.195688",,"秋，陆龟蒙仍在润州","","《润州送人往长洲》","Poem","润州送人往长洲
秋来频上向吴亭，每上思归意剩生。废苑池台烟里色，夜村蓑笠雨中声。汀洲月下菱船疾，杨柳风高酒旆轻。君住松江多少日，为尝鲈鲙与莼羹。","李福标《皮陆年谱》，中山大学出版社2011年版。第100页","《甫里集》卷八",,,"王秀林"
