朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","韦庄","文宗开成","836",,,"1","","京畿道","京兆府","杜陵",,"陕西","西安市",,"108.946306","34.347436",,"是年生于家乡长安","",,"","","夏承焘《唐宋词人年谱》，第2页",,,,"杨洁"
"唐","韦庄","文宗开成","837",,,"2","","京畿道","京兆府","杜陵",,"陕西","西安市",,"108.946306","34.347436",,"居乡","",,"","","夏承焘《唐宋词人年谱》，第4页",,,,"王小兰"
"唐","韦庄","文宗开成","838",,,"3","","京畿道","京兆府","杜陵",,"陕西","西安市",,"108.946306","34.347436",,"居乡","",,"","","夏承焘《唐宋词人年谱》，第4页",,,,"王小兰"
"唐","韦庄","文宗开成","839",,,"4","","京畿道","京兆府","杜陵",,"陕西","西安市",,"108.946306","34.347436",,"居乡","",,"","","夏承焘《唐宋词人年谱》，第4页",,,,"王小兰"
"唐","韦庄","文宗开成","840",,,"5","","京畿道","京兆府","杜陵",,"陕西","西安市",,"108.946306","34.347436",,"居乡","",,"","","夏承焘《唐宋词人年谱》，第4页",,,,"王小兰"
"唐","韦庄","武宗会昌","841",,,"6","","京畿道","京兆府","杜陵",,"陕西","西安市",,"108.946306","34.347436",,"居乡","",,"","","夏承焘《唐宋词人年谱》，第4页",,,,"王小兰"
"唐","韦庄","武宗会昌","842",,,"7","","京畿道","京兆府","杜陵",,"陕西","西安市",,"108.946306","34.347436",,"居乡","",,"","","夏承焘《唐宋词人年谱》，第4页",,,,"王小兰"
"唐","韦庄","武宗会昌","843",,,"8","","京畿道","京兆府","杜陵",,"陕西","西安市",,"108.946306","34.347436",,"居乡","",,"","","夏承焘《唐宋词人年谱》，第4页",,,,"王小兰"
"唐","韦庄","武宗会昌","844",,,"9","","京畿道","京兆府","杜陵",,"陕西","西安市",,"108.946306","34.347436",,"居乡","",,"","","夏承焘《唐宋词人年谱》，第4页",,,,"王小兰"
"唐","韦庄","武宗会昌","845",,,"10","","京畿道","华州","下邽",,"陕西","临渭区","临渭区下邽镇","109.496551","34.77626",,"幼时尝侨居白居易故乡下邽县","",,"","","夏承焘《唐宋词人年谱》，第4—5页","鄠县，确切年代无考",,,"王小兰"
"唐","韦庄","武宗会昌","846",,,"11","","京畿道","京兆府","鄠杜",,"陕西","西安市",,"108.946306","34.347436",,"居乡","",,"","","夏承焘《唐宋词人年谱》，第5页",,,,"王小兰"
"唐","韦庄","宣宗大中","847",,,"12","","京畿道","京兆府","鄠杜",,"陕西","西安市",,"108.946306","34.347436",,"居乡","",,"","","夏承焘《唐宋词人年谱》，第5页",,,,"王小兰"
"唐","韦庄","宣宗大中","848",,,"13","","京畿道","京兆府","鄠杜",,"陕西","西安市",,"108.946306","34.347436",,"居乡","",,"","","夏承焘《唐宋词人年谱》，第5页",,,,"王小兰"
"唐","韦庄","宣宗大中","849",,,"14","","京畿道","京兆府","鄠杜",,"陕西","西安市",,"108.946306","34.347436",,"居乡","",,"","","夏承焘《唐宋词人年谱》，第5页",,,,"王小兰"
"唐","韦庄","宣宗大中","850",,,"15","","京畿道","京兆府","鄠杜",,"陕西","西安市",,"108.946306","34.347436",,"居乡","",,"","","夏承焘《唐宋词人年谱》，第5页",,,,"王小兰"
"唐","韦庄","宣宗大中","851",,,"16","","京畿道","京兆府","鄠杜",,"陕西","西安市",,"108.946306","34.347436",,"居乡","",,"","","夏承焘《唐宋词人年谱》，第5页",,,,"王小兰"
