朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","韦应物","玄宗开元二十五年丁丑","737","",,"1","","京畿道","京兆府","万年","杜陵","陕西","西安市",,"108.946306","34.347436",,"在故乡万年胄贵里家居","",,"","","罗联添著《唐代诗文六家年谱·韦应物年谱》. 学海出版社, 1986. 
.76；85","","",,"龚红林"
"唐","韦应物","玄宗开元二十六年戊寅","738","",,"2","","京畿道","京兆府","万年","胄贵里","陕西","西安市",,"108.946306","34.347436",,"在故乡万年胄贵里家居","",,"","","罗联添著《唐代诗文六家年谱·韦应物年谱》. 学海出版社,第85页","","",,"龚红林"
"唐","韦应物","玄宗开元二十七年己卯","739","",,"3","","京畿道","京兆府","万年","胄贵里","陕西","西安市",,"108.946306","34.347436",,"在故乡万年胄贵里家居","",,"","","罗联添著《唐代诗文六家年谱·韦应物年谱》. 学海出版社,第85页","","",,"龚红林"
"唐","韦应物","玄宗开元二十八年庚辰","740","",,"4","","京畿道","京兆府","万年","胄贵里","陕西","西安市",,"108.946306","34.347436",,"在故乡万年胄贵里家居","",,"","","罗联添著《唐代诗文六家年谱·韦应物年谱》. 学海出版社,第85页","","",,"龚红林"
"唐","韦应物","玄宗开元二十九年辛巳","741","",,"5","","京畿道","京兆府","万年","胄贵里","陕西","西安市",,"108.946306","34.347436",,"在故乡万年胄贵里家居","",,"","","罗联添著《唐代诗文六家年谱·韦应物年谱》. 学海出版社,第85页","","",,"龚红林"
"唐","韦应物","玄宗天宝元年壬午","742",,,"6","","京畿道","京兆府","万年","胄贵里","陕西","西安市",,"108.946306","34.347436",,"在故乡万年胄贵里家居","",,"","","罗联添著《唐代诗文六家年谱·韦应物年谱》. 学海出版社,第85页","","",,"龚红林"
"唐","韦应物","玄宗天宝二年癸未","743",,,"7","","京畿道","京兆府","万年","胄贵里","陕西","西安市",,"108.946306","34.347436",,"在故乡万年胄贵里家居","",,"","","罗联添著《唐代诗文六家年谱·韦应物年谱》. 学海出版社,第85页","","",,"龚红林"
"唐","韦应物","玄宗天宝三载甲申","744","","","8","","京畿道","京兆府","万年","胄贵里","陕西","西安市",,"108.946306","34.347436",,"在故乡万年胄贵里家居","",,"","","罗联添著《唐代诗文六家年谱·韦应物年谱》. 学海出版社,第85页","","",,"龚红林"
"唐","韦应物","玄宗天宝四载乙酉","745","",,"9","","京畿道","京兆府","万年","胄贵里","陕西","西安市",,"108.946306","34.347436",,"在故乡万年胄贵里家居","",,"","","罗联添著《唐代诗文六家年谱·韦应物年谱》. 学海出版社,第85页","","",,"龚红林"
"唐","韦应物","玄宗天宝五载丙戌","746",,,"10","","京畿道","京兆府","万年","胄贵里","陕西","西安市",,"108.946306","34.347436",,"在故乡万年胄贵里家居","",,"","","罗联添著《唐代诗文六家年谱·韦应物年谱》. 学海出版社,第85页","","",,"龚红林"
"唐","韦应物","玄宗天宝六载丁亥","747","",,"11","","京畿道","京兆府","万年","胄贵里","陕西","西安市",,"108.946306","34.347436",,"在故乡万年胄贵里家居","","","","","罗联添著《唐代诗文六家年谱·韦应物年谱》. 学海出版社,第85页","","",,"龚红林"
"唐","韦应物","玄宗天宝七载戊子","748","",,"12","","京畿道","京兆府","万年","胄贵里","陕西","西安市",,"108.946306","34.347436",,"在故乡万年胄贵里家居","","","","","罗联添著《唐代诗文六家年谱·韦应物年谱》. 学海出版社,第85页","","",,"龚红林"
"唐","韦应物","玄宗天宝八载己丑","749","",,"13","","京畿道","京兆府","万年",,"陕西","西安市",,"108.946306","34.347436",,"在故乡万年胄贵里家居","",,"","","罗联添著《唐代诗文六家年谱·韦应物年谱》. 学海出版社,第85页","","",,"龚红林"
"唐","韦应物","玄宗天宝九载庚寅","750","",,"14","","京畿道","京兆府","万年",,"陕西","西安市",,"108.946306","34.347436",,"在故乡万年胄贵里家居","",,"","","罗联添著《唐代诗文六家年谱·韦应物年谱》. 学海出版社,第85页","","",,"龚红林"
"唐","韦应物","玄宗天宝十载辛卯","751","",,"15","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"在长安，为明皇宿卫","",,"","","罗联添著《唐代诗文六家年谱·韦应物年谱》. 学海出版社,第85页","","",,"龚红林"
