朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","骆宾王","太宗贞观九年乙未","635",,,"1","","江南东道","婺州","义乌",,"浙江","金华市","义乌市","120.081262","29.311326",,"居于家乡义乌。宾王生年难确考，本表所列年岁为虚拟数。","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第25页",,,,"黄俊杰"
"唐","骆宾王","太宗贞观十年丙申","636",,,"2","","江南东道","婺州","义乌",,"浙江","金华市","义乌市","120.081262","29.311326",,"居于家乡义乌","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第30页",,,,"黄俊杰"
"唐","骆宾王","太宗贞观十一年丁酉","637",,,"3","","江南东道","婺州","义乌",,"浙江","金华市","义乌市","120.081262","29.311326",,"居于家乡义乌","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第31页",,,,"黄俊杰"
"唐","骆宾王","太宗贞观十二年戊戍","638",,,"4","","江南东道","婺州","义乌",,"浙江","金华市","义乌市","120.081262","29.311326",,"居于家乡义乌","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第32页",,,,"黄俊杰"
"唐","骆宾王","太宗贞观十三年己亥","639",,,"5","","江南东道","婺州","义乌",,"浙江","金华市","义乌市","120.081262","29.311326",,"居于家乡义乌","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.",,"张谱于此年事漏载",,"黄俊杰"
"唐","骆宾王","太宗贞观十四年庚子","640",,,"6","","江南东道","婺州","义乌",,"浙江","金华市","义乌市","120.081262","29.311326",,"居于家乡义乌","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第33页",,,,"黄俊杰"
"唐","骆宾王","太宗贞观十五年辛丑","641",,,"7","","江南东道","婺州","义乌",,"浙江","金华市","义乌市","120.081262","29.311326",,"居乡.作咏鹅诗","","《咏鹅》","Poem","咏鹅
鹅，鹅，鹅，曲项向天歌。白毛浮绿水，红掌拨清波。","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第35页","陈熙晋《骆临海集笺注》上海古籍出版社1985年版卷3第108页",,,"黄俊杰"
"唐","骆宾王","太宗贞观十六年壬寅","642",,,"8","","江南东道","婺州","义乌",,"浙江","金华市","义乌市","120.081262","29.311326",,"居于家乡义乌","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第36页",,,,"黄俊杰"
"唐","骆宾王","太宗贞观十七年癸卯","643",,,"9","","江南东道","婺州","义乌",,"浙江","金华市","义乌市","120.081262","29.311326",,"居于家乡义乌","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第37页",,,,"黄俊杰"
"唐","骆宾王","太宗贞观十八年甲辰","644",,,"10","","河南道","青州","博昌",,"山东","滨州市","博兴县","118.117454","37.158968",,"随父母徙居青州博昌","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第38页",,,,"黄俊杰"
"唐","骆宾王","太宗贞观十九年乙巳","645",,,"11","","河南道","青州","博昌",,"山东","滨州市","博兴县","118.117454","37.158968",,"居青州博昌","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第40页",,,,"黄俊杰"
"唐","骆宾王","太宗贞观二十年丙午","646",,,"12","","河南道","青州","博昌",,"山东","滨州市","博兴县","118.117454","37.158968",,"居青州博昌","",,"","","张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第43页",,,,"黄俊杰"
