朝代,作家,皇帝年号及干支,年份,月,日,年岁,活动分期,活动地道、路,州,县,地点名胜,省,市,县,经度,纬度,任职官名,活动内容或创作缘起,交游者姓名,系年作品,系年作品文体,作品内容,材料来源,页码,备注1,备注2,录入者
"唐","鱼玄机","武宗会昌四年甲子","844",,,"1","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居家玄机生卒年难确考。本表所列年岁为虚拟数。","",,"","","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版",,,,"罗昌繁"
"唐","鱼玄机","武宗会昌五年乙丑","845",,,"2","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居家","",,"","","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版",,,,"罗昌繁"
"唐","鱼玄机","武宗会昌六年丙寅","846",,,"3","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居家","",,"","","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版",,,,"罗昌繁"
"唐","鱼玄机","宣宗大中元年丁卯","847",,,"4","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居家","",,"","","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版",,,,"罗昌繁"
"唐","鱼玄机","宣宗大中二年戊辰","848",,,"5","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居家","",,"","","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版",,,,"罗昌繁"
"唐","鱼玄机","宣宗大中三年己巳","849",,,"6","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居家","",,"","","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版",,,,"罗昌繁"
"唐","鱼玄机","宣宗大中四年庚午","850",,,"7","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居家","",,"","","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版",,,,"罗昌繁"
"唐","鱼玄机","宣宗大中五年辛未","851",,,"8","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居家","",,"","","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版",,,,"罗昌繁"
"唐","鱼玄机","宣宗大中六年壬申","852",,,"9","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居家","",,"","","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版",,,,"罗昌繁"
"唐","鱼玄机","宣宗大中七年癸酉","853",,,"10","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居家","",,"","","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版",,,,"罗昌繁"
"唐","鱼玄机","宣宗大中八年甲戌","854",,,"11","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居家","",,"","","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版",,,,"罗昌繁"
"唐","鱼玄机","宣宗大中九年乙亥","855",,,"12","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居家","",,"","","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版",,,,"罗昌繁"
"唐","鱼玄机","宣宗大中十年丙子","856",,,"13","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居家","",,"","","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版",,,,"罗昌繁"
"唐","鱼玄机","宣宗大中十一年丁丑","857",,,"14","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居家","",,"","","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版",,,,"罗昌繁"
"唐","鱼玄机","宣宗大中十二年戊寅","858",,,"15","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"嫁李亿为外妻","李亿，温庭筠",,"","","彭志宪 张燚《鱼玄机诗编年译注·序言》，新疆大学出版社1994年版3;52",,,,"罗昌繁"
"唐","鱼玄机","宣宗大中十三年己卯","859",,,"16","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居长安","李亿",,"","","彭志宪 张燚《鱼玄机诗编年译注·序言》，新疆大学出版社1994年版第3页",,,,"罗昌繁"
"唐","鱼玄机","懿宗咸通元年、宣宗大中十四年庚辰","860",,,"17","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"居长安","李亿",,"","","彭志宪 张燚《鱼玄机诗编年译注·序言》，新疆大学出版社1994年版第3页",,,,"罗昌繁"
"唐","鱼玄机","懿宗咸通二年辛巳","861",,,"18","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"有诗答李亿","李亿","酬李学士寄簟","Poem","酬李学士寄簟
珍簟新铺翡翠楼，泓澄玉水记方流。唯应云扇情相似，同向银床恨早秋。","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版第1页",,,,"罗昌繁"
"唐","鱼玄机","懿宗咸通二年辛巳","861",,,"18","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"有打毬诗寄望李亿速将自己娶进家门","李亿","打毬作","Poem","打毬作
坚圆净滑一星流，月杖争敲未拟休。无滞碍时从拨弄，有遮栏处任钩留。不辞宛转长随手，却恐相将不到头。毕竟入门应始了，愿君争取最前筹。","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版3-4",,,,"罗昌繁"
"唐","鱼玄机","懿宗咸通二年辛巳","861",,,"18","","京畿道","京兆府","长安",,"陕西","西安市",,"108.946306","34.347436",,"因受李亿夫人嫉妒，作诗寄李亿表明自愿远游江汉，以求缓和家庭矛盾","李亿","情书寄李子安","Poem","情书寄李子安
饮冰食檗志无功，晋水壶关在梦中。秦镜欲分愁堕鹊，舜琴将弄怨飞鸿。井边桐叶鸣秋雨，窗下银灯暗晓风。书信茫茫何处问，持竿尽日碧江空。","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版第5页",,,,"罗昌繁"
"唐","鱼玄机","懿宗咸通三年壬午","862","1",,"19","","京畿道","京兆府","蓝田",,"陕西","西安市","蓝田县","109.329839","34.157639",,"在蓝田到内乡的山路中，书写春日情怀寄夫君","李亿","春情寄子安","Poem","春情寄子安
山路敧斜石磴危，不愁行苦苦相思。冰销远涧怜清韵，雪远寒峰想玉姿。莫听凡歌春病酒，休招闲客夜贪棋。如松匪石盟长在，比翼连襟会肯迟。虽恨独行冬尽日，终期相见月圆时。别君何物堪持赠，泪落晴光一首诗。","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版第9页",,,,"罗昌繁"
"唐","鱼玄机","懿宗咸通三年壬午","862",,,"19","","山南东道","商州","商山",,"陕西","商洛市","丹凤县","110.333771","33.701585",,"南游江汉过商山","",,"","","彭志宪 张燚《鱼玄机诗编年译注》，新疆大学出版社1994年版",,,,"罗昌繁"
